plotID,siteID,year,Canopy_Ht,Max_Ht,Rumple,Rugosity,Deep_Gap,Vert_SD,Vert_CV,Gini,VCI,FHD,LAI,Q95,Ht_Ratio,NDVI,EVI,ARVI,SAVI
DELA_013,DELA,2015,21.374652862548828,23.869220733642578,1.2465392351150513,3.4624075889587402,0.05975780636072159,3.1867902278900146,0.1823866069316864,0.10461489856243134,0.24091842770576477,0.49835166335105896,0.9512323141098022,24.060842514038086,16.47083854675293,,,,
DELA_003,DELA,2015,13.506669998168945,14.566570281982422,1.3381054401397705,2.4134888648986816,0.12035134434700012,2.158466100692749,0.20861461758613586,0.12004566192626953,0.29971396923065186,0.47719523310661316,0.8436399698257446,15.362022399902344,39.432125091552734,,,,
DELA_005,DELA,2015,15.02330493927002,16.251684188842773,1.1724088191986084,1.9273898601531982,0.0406477227807045,1.4222471714019775,0.10795195400714874,0.05810702592134476,0.26766306161880493,0.3952093720436096,0.7709160447120667,16.26279640197754,12.737772941589355,,,,
DELA_011,DELA,2015,17.865970611572266,19.10944938659668,1.1522750854492188,1.9367766380310059,0.04115600883960724,1.4781439304351807,0.08833320438861847,0.051501065492630005,0.21625050902366638,0.42424604296684265,0.8486946225166321,19.10150718688965,6.875824451446533,,,,
DELA_004,DELA,2015,18.754005432128906,21.08759880065918,1.2858080863952637,3.898752212524414,0.07467081397771835,2.72931170463562,0.16659685969352722,0.0901578962802887,0.28595367074012756,0.5336112976074219,0.9812371134757996,21.02252960205078,15.31994915008545,,,,
DELA_018,DELA,2015,15.711774826049805,17.77315330505371,1.2586544752120972,2.8951306343078613,0.05869387090206146,2.534721851348877,0.1826775223016739,0.09972184151411057,0.3155934512615204,0.5380101203918457,0.9396607875823975,17.916112899780273,25.319849014282227,,,,
DELA_014,DELA,2015,20.6480655670166,22.254554748535156,1.1626601219177246,2.2057945728302,0.038877200335264206,1.8641639947891235,0.10988762974739075,0.06492626667022705,0.21597979962825775,0.4229092597961426,0.8649468421936035,22.180625915527344,7.991243839263916,,,,
DELA_015,DELA,2015,14.440743446350098,15.368870735168457,1.208237648010254,1.7630994319915771,0.06544017791748047,1.3406263589859009,0.11447851359844208,0.06906868517398834,0.2164362519979477,0.38317716121673584,0.7789340019226074,15.521565437316895,21.47127914428711,,,,
DELA_012,DELA,2015,13.698827743530273,15.641517639160156,1.3230985403060913,3.2384836673736572,0.0860644206404686,2.2702431678771973,0.1916790008544922,0.1049714908003807,0.32178592681884766,0.5214498043060303,0.9932588338851929,15.61839485168457,36.089786529541016,,,,
DELA_010,DELA,2015,15.411296844482422,17.22403335571289,1.2379704713821411,2.3263537883758545,0.0567106157541275,2.152421474456787,0.16742542386054993,0.0943681076169014,0.2739529013633728,0.4891720414161682,0.9129164814949036,17.344324111938477,29.17783546447754,,,,
DELA_016,DELA,2015,17.752330780029297,19.755483627319336,1.3662344217300415,4.128970623016357,0.11291084438562393,2.6871917247772217,0.18903981149196625,0.1051245853304863,0.2567710280418396,0.4507027566432953,0.8679015040397644,19.853208541870117,31.110496520996094,,,,
DELA_001,DELA,2015,16.156768798828125,17.143980026245117,1.2440614700317383,2.208287477493286,0.08883945643901825,1.944881558418274,0.14677152037620544,0.08812471479177475,0.23343808948993683,0.46714162826538086,0.9476125240325928,17.760326385498047,22.293201446533203,,,,
DELA_019,DELA,2015,13.852042198181152,15.613555908203125,1.2755773067474365,2.5728108882904053,0.0718458816409111,2.275442123413086,0.17971397936344147,0.09775596112012863,0.3098888695240021,0.4874063730239868,0.8482329845428467,15.87099838256836,38.13206100463867,,,,
DELA_017,DELA,2015,16.257293701171875,17.369094848632812,1.297625184059143,2.6735687255859375,0.10146337002515793,2.4930012226104736,0.17814521491527557,0.09654867649078369,0.2996029853820801,0.48933032155036926,0.905865490436554,18.390295028686523,29.714815139770508,,,,
