plotID,date,year,doy,ndvi,nbr,npix
OSBS_066,2025-12-23,2025,357,0.421,0.2954,16
OSBS_068,2025-12-23,2025,357,0.3848,0.2824,16
OSBS_070,2025-12-23,2025,357,0.3438,0.2279,16
OSBS_073,2025-12-23,2025,357,0.3985,0.2412,16
OSBS_002,2025-12-15,2025,349,0.1941,0.0941,16
OSBS_048,2025-12-15,2025,349,0.2004,0.1097,16
OSBS_018,2025-12-15,2025,349,0.2149,0.1323,16
OSBS_004,2025-12-15,2025,349,0.2173,0.1388,16
OSBS_020,2025-12-15,2025,349,0.2046,0.0983,3
OSBS_010,2025-12-15,2025,349,0.2794,0.2104,16
OSBS_017,2025-12-15,2025,349,0.2336,0.1684,16
OSBS_039,2025-12-15,2025,349,0.1638,0.0974,16
OSBS_036,2025-12-15,2025,349,0.1884,0.1578,11
OSBS_029,2025-12-15,2025,349,0.1611,0.1052,16
OSBS_015,2025-12-15,2025,349,0.2028,0.0815,16
OSBS_025,2025-12-15,2025,349,0.1664,0.0805,16
OSBS_030,2025-12-15,2025,349,0.1698,0.0739,16
OSBS_038,2025-12-15,2025,349,0.2048,0.1309,16
OSBS_042,2025-12-15,2025,349,0.2235,0.1633,16
OSBS_035,2025-12-15,2025,349,0.1655,0.0562,16
OSBS_037,2025-12-15,2025,349,0.1133,0.0318,12
OSBS_028,2025-12-15,2025,349,0.1532,0.0348,16
OSBS_041,2025-12-15,2025,349,0.1518,0.0644,16
OSBS_009,2025-12-15,2025,349,0.1579,0.0267,16
OSBS_031,2025-12-15,2025,349,0.1601,0.0961,4
OSBS_032,2025-12-15,2025,349,0.1749,0.135,12
OSBS_044,2025-12-15,2025,349,0.2011,0.1071,16
OSBS_027,2025-12-15,2025,349,0.2003,0.1331,16
OSBS_026,2025-12-15,2025,349,0.1908,0.1358,16
OSBS_067,2025-12-15,2025,349,0.206,0.0825,16
OSBS_066,2025-12-15,2025,349,0.1948,0.08,16
OSBS_073,2025-12-15,2025,349,0.2517,0.1818,16
OSBS_002,2025-12-13,2025,347,0.3724,0.275,16
OSBS_006,2025-12-13,2025,347,0.3237,0.1822,16
OSBS_048,2025-12-13,2025,347,0.3812,0.2831,16
OSBS_001,2025-12-13,2025,347,0.4441,0.3486,16
