plotID,date,year,doy,ndvi,nbr,npix
WREF_087,2025-09-28,2025,271,0.2183,0.4211,16
WREF_075,2025-09-28,2025,271,0.2202,0.41,16
WREF_071,2025-09-28,2025,271,0.2212,0.4089,16
WREF_016,2025-09-28,2025,271,0.2411,0.4025,16
WREF_015,2025-09-28,2025,271,0.2127,0.399,16
WREF_013,2025-09-28,2025,271,0.2285,0.4376,16
WREF_001,2025-09-28,2025,271,0.2391,0.4164,16
WREF_003,2025-09-28,2025,271,0.2444,0.5066,16
WREF_018,2025-09-28,2025,271,0.1871,0.3606,16
WREF_020,2025-09-28,2025,271,0.2156,0.3609,16
WREF_002,2025-09-28,2025,271,0.2847,0.4675,16
WREF_019,2025-09-28,2025,271,0.1874,0.3542,16
WREF_010,2025-09-28,2025,271,0.2501,0.5372,16
WREF_007,2025-09-28,2025,271,0.2374,0.4233,16
WREF_008,2025-09-28,2025,271,0.2018,0.3545,16
WREF_006,2025-09-28,2025,271,0.2295,0.5203,16
WREF_005,2025-09-28,2025,271,0.2402,0.4472,16
WREF_014,2025-09-28,2025,271,0.2362,0.4385,16
WREF_009,2025-09-28,2025,271,0.2325,0.4904,16
WREF_011,2025-09-28,2025,271,0.2636,0.4153,16
WREF_004,2025-09-28,2025,271,0.2166,0.3655,16
WREF_017,2025-09-28,2025,271,0.274,0.4531,16
WREF_089,2025-09-23,2025,266,0.4151,0.3421,16
WREF_082,2025-09-23,2025,266,0.4478,0.4102,16
WREF_077,2025-09-23,2025,266,0.3859,0.3397,16
WREF_083,2025-09-23,2025,266,0.4016,0.3609,16
WREF_086,2025-09-23,2025,266,0.2929,0.2388,16
WREF_081,2025-09-23,2025,266,0.4062,0.3561,16
WREF_076,2025-09-23,2025,266,0.4166,0.3614,16
WREF_070,2025-09-23,2025,266,0.4583,0.4322,16
WREF_074,2025-09-23,2025,266,0.4443,0.4067,16
WREF_072,2025-09-23,2025,266,0.3498,0.3033,16
WREF_080,2025-09-23,2025,266,0.541,0.5115,16
WREF_073,2025-09-23,2025,266,0.4766,0.4502,16
WREF_079,2025-09-23,2025,266,0.3917,0.3481,16
WREF_085,2025-09-23,2025,266,0.4395,0.4029,16
WREF_084,2025-09-23,2025,266,0.4562,0.4266,16
WREF_078,2025-09-23,2025,266,0.4375,0.4039,16
WREF_088,2025-09-23,2025,266,0.4295,0.3952,16
WREF_087,2025-09-23,2025,266,0.4493,0.4179,16
WREF_075,2025-09-23,2025,266,0.4548,0.4115,16
WREF_071,2025-09-23,2025,266,0.4535,0.4169,16
