plotID,date,year,doy,ndvi,nbr,npix
HARV_043,2025-12-22,2025,356,0.2737,0.1624,16
HARV_035,2025-12-22,2025,356,0.2665,0.1022,16
HARV_037,2025-12-22,2025,356,0.4184,0.2562,16
HARV_020,2025-12-22,2025,356,-0.0482,0.041,16
HARV_023,2025-12-22,2025,356,0.208,0.0869,16
HARV_014,2025-12-22,2025,356,0.4267,0.2482,16
HARV_011,2025-12-22,2025,356,0.262,0.0924,16
HARV_025,2025-12-22,2025,356,0.2333,0.0381,16
HARV_002,2025-12-22,2025,356,-0.0111,-0.0233,16
HARV_012,2025-12-22,2025,356,0.415,0.3216,16
HARV_026,2025-12-22,2025,356,0.3483,0.214,16
HARV_016,2025-12-22,2025,356,0.3979,0.2694,16
HARV_039,2025-12-22,2025,356,0.2468,0.1001,16
HARV_021,2025-12-22,2025,356,0.2811,0.1676,16
HARV_045,2025-12-22,2025,356,0.0928,-0.105,16
HARV_041,2025-12-22,2025,356,0.4694,0.3354,16
HARV_038,2025-12-22,2025,356,0.3174,0.1844,16
HARV_050,2025-12-22,2025,356,0.3394,0.1913,16
HARV_048,2025-12-22,2025,356,0.277,0.1116,16
HARV_036,2025-12-22,2025,356,0.1659,0.0323,16
HARV_052,2025-12-22,2025,356,0.3004,0.1587,16
HARV_049,2025-12-22,2025,356,0.3217,0.1746,16
HARV_047,2025-12-22,2025,356,0.2278,0.0735,16
HARV_044,2025-12-22,2025,356,0.2147,0.14,16
HARV_040,2025-12-22,2025,356,0.2724,0.1908,16
HARV_046,2025-12-22,2025,356,0.448,0.314,16
HARV_033,2025-12-22,2025,356,0.241,0.129,16
HARV_051,2025-12-22,2025,356,0.2983,0.1532,16
HARV_034,2025-12-22,2025,356,0.3347,0.2121,16
HARV_042,2025-12-22,2025,356,0.2289,0.1271,16
HARV_015,2025-12-22,2025,356,0.3425,0.2475,16
HARV_017,2025-12-22,2025,356,0.3826,0.227,16
HARV_022,2025-12-12,2025,346,0.249,0.4943,16
HARV_008,2025-12-12,2025,346,0.407,0.3794,16
HARV_004,2025-12-12,2025,346,0.3089,0.3048,16
HARV_024,2025-12-12,2025,346,0.4661,0.4158,16
HARV_010,2025-12-12,2025,346,0.357,0.3904,16
HARV_006,2025-12-12,2025,346,0.421,0.4303,16
HARV_001,2025-12-12,2025,346,0.2713,0.3436,16
HARV_005,2025-12-12,2025,346,0.4055,0.4373,16
HARV_027,2025-12-12,2025,346,0.3348,0.3671,16
HARV_020,2025-12-12,2025,346,0.2658,0.2811,16
HARV_023,2025-12-12,2025,346,0.2909,0.2805,16
HARV_025,2025-12-12,2025,346,-0.0108,0.0168,16
HARV_002,2025-12-12,2025,346,0.1456,0.3821,16
HARV_012,2025-12-12,2025,346,-0.0026,0.2428,2
HARV_026,2025-12-12,2025,346,0.4492,0.4192,16
HARV_016,2025-12-12,2025,346,0.2838,0.3909,16
HARV_021,2025-12-12,2025,346,0.3556,0.3167,16
HARV_017,2025-12-12,2025,346,-0.024,-0.0441,16
HARV_013,2025-12-12,2025,346,0.4912,0.4602,16
HARV_022,2025-12-12,2025,346,0.3169,0.1241,12
HARV_008,2025-12-12,2025,346,0.1729,0.3244,16
HARV_004,2025-12-12,2025,346,0.1466,0.263,1
HARV_024,2025-12-12,2025,346,0.3697,0.4407,14
HARV_010,2025-12-12,2025,346,0.3026,0.3128,16
HARV_006,2025-12-12,2025,346,0.2546,0.3907,16
HARV_001,2025-12-12,2025,346,0.2597,0.3796,16
HARV_005,2025-12-12,2025,346,0.2241,0.3284,16
HARV_027,2025-12-12,2025,346,0.4039,0.3584,16
HARV_035,2025-12-12,2025,346,0.3487,0.3525,16
HARV_020,2025-12-12,2025,346,0.1398,0.3001,16
HARV_023,2025-12-12,2025,346,0.3529,0.3549,16
HARV_014,2025-12-12,2025,346,0.3762,0.4129,16
HARV_011,2025-12-12,2025,346,0.0515,0.0664,16
HARV_025,2025-12-12,2025,346,0.3032,0.245,16
HARV_002,2025-12-12,2025,346,0.3316,0.3909,16
HARV_026,2025-12-12,2025,346,0.4106,0.3762,16
HARV_016,2025-12-12,2025,346,0.2596,0.2972,16
HARV_046,2025-12-12,2025,346,0.1718,0.2618,8
HARV_017,2025-12-12,2025,346,0.2993,0.3222,16
HARV_013,2025-12-12,2025,346,0.2479,0.4074,16
HARV_008,2025-12-12,2025,346,0.5133,0.4684,16
HARV_024,2025-12-12,2025,346,0.3881,0.4822,16
HARV_010,2025-12-12,2025,346,0.3021,0.2469,16
HARV_006,2025-12-12,2025,346,0.4059,0.3972,16
HARV_001,2025-12-12,2025,346,0.1765,0.3657,16
HARV_027,2025-12-12,2025,346,0.3347,0.318,16
HARV_020,2025-12-12,2025,346,-0.0435,0.0091,16
HARV_023,2025-12-12,2025,346,0.1837,0.2211,16
HARV_014,2025-12-12,2025,346,0.3721,0.4895,4
HARV_011,2025-12-12,2025,346,0.1559,0.3835,16
