src,response,beta_lin,p_lin,beta_quad,p_quad,n,hump
gami,Hill q1,0.05058301971035081,0.5364030912326805,0.0010062377958536296,0.9859363414382425,471,False
gami,Hill q2,0.06070855616565358,0.46959152512527513,-0.000544420308504559,0.992584239527454,471,False
