src,trend,beta_age,p,n
30m,Rugosity_trend,0.1702888809360218,0.0010465465086579855,438
30m,FHD_trend,0.032611076142738164,0.47548503122733865,437
30m,VCI_trend,0.037724751876250344,0.45720202847606306,438
30m,Gini_trend,-0.04055240525650536,0.4900041091207986,438
30m,Deep_Gap_trend,0.08219431792980644,0.09582634247449406,438
30m,Max_Ht_trend,0.10538595702794451,0.01760179846679108,438
30m,LAI_trend,-0.08564719358340508,0.08235341010726892,438
30m,Canopy_Ht_trend,0.09673845255817896,0.061294974737441464,438
