index,A_raw,B_domain,C_foresttype,D_evergreen,n
Hill q1,4.797454559525816e-13,0.9783791047775832,0.9782270592001971,0.9524599884987406,436
Hill q2,3.3675765715980265e-11,0.9801209952074891,0.9799811938531826,0.9532333609203415,436
turnover,5.103844411483108e-16,0.40362828441664234,0.8287341894722642,0.8361915530249486,405
nestedness,7.496899107350652e-06,,0.1735499976924738,0.08841824104380389,405
