rp,rs,ctx,ctx_z,slope,se,p
Hill q1,pml_gpp,stand_age_gami,-1,0.04266102277178267,0.10013359611266452,0.6700779317180585
Hill q1,pml_gpp,stand_age_gami,0,0.1208829153923338,0.09149599662070447,0.18644049867498713
Hill q1,pml_gpp,stand_age_gami,1,0.19910480801288494,0.10688491116343823,0.06249094269782921
Hill q1,VCI_mean,severity,-1,0.38527364277084347,0.07843226689301794,9.006795954803279e-07
Hill q1,VCI_mean,severity,0,0.2972209281393128,0.058641444888036895,4.0107919787467707e-07
Hill q1,VCI_mean,severity,1,0.20916821350778209,0.05421699970896657,0.00011432702620920343
Hill q1,LAI_mean,severity,-1,0.5256260629223246,0.11610844539206953,5.981931007640997e-06
Hill q1,LAI_mean,severity,0,0.34709440157114735,0.09328973476362587,0.00019874483928942856
Hill q1,LAI_mean,severity,1,0.16856274021997003,0.09136075705481282,0.06503412581487436
