response,R2_climate,dR2_gpp_beyond_climate,p_gpp,modis_beta,modis_p_clustered,pml_beta
Hill q1,0.05245271715993993,0.20907026568656817,1.3772792533896476e-35,0.23976742020184683,0.03341377761112838,0.2843311699219522
Hill q2,0.05262563755315697,0.1854808976081883,3.3883154504164414e-31,0.20535155051741016,0.04925005487680907,0.24269187046482035
LCBD turnover,0.15290593116283424,0.20016587610827008,1.2782755662491546e-34,0.05608592653417308,0.12805041565232744,0.12368869395089502
LCBD nestedness,0.09431418426187088,0.05613233184179134,9.030453159235462e-09,-0.019362741648328977,0.052860352031468265,-0.004968981795077338
