response,baseline,n,R2_base,R2_M1,R2_M2,R2_M3,dR2_dyn,p_dyn,dAIC_dyn,dR2_fun,p_fun,dAIC_fun
Hill q1,domain,644,0.4904143309073834,0.6016155490663925,0.6432099442647552,0.6550467743351878,0.04159439519836272,9.215410133227425e-13,-57.01385845653817,0.011836830070432569,1.9137491149134543e-05,-17.7277225189373
Hill q1,climate,644,0.05245271715993993,0.5043852952225039,0.5870932402753808,0.6045380541888616,0.08270794505287693,2.4441911461502147e-22,-103.57959822517114,0.01744481391348085,9.191182049029219e-07,-23.799702198927662
Hill q2,domain,644,0.4498599727993552,0.551622422980595,0.590744624770684,0.6047526521271968,0.03912220179008896,2.625841489012722e-10,-44.79483831922198,0.014008027356512742,1.3477590843095798e-05,-18.42896437858235
Hill q2,climate,644,0.05262563755315697,0.45472052664331486,0.5354242679417786,0.5516703739543811,0.0807037412984637,2.407254745912499e-19,-89.15197450900291,0.016246106012602568,1.0523876795028748e-05,-18.92372780380515
LCBD turnover,domain,579,0.5898679220186752,0.6004050271914061,0.6137058085691607,0.627444679907289,0.013300781377754589,0.006500564401087526,-5.600442905435557,0.013738871338128344,2.7984353693406657e-05,-16.967730001276323
LCBD turnover,climate,579,0.15184290761993047,0.4226038331334724,0.4581384196903996,0.4948557826886595,0.035534586556927206,5.169716762755602e-06,-22.776949014108595,0.036717362998259895,1.5068643617748271e-09,-36.62646985362153
LCBD nestedness,domain,579,0.33702290569276583,0.3717062848102072,0.42714939281993614,0.43449557783021464,0.05544310800972896,2.9670184169255963e-09,-39.489637847671474,0.007346185010278505,0.023836621739118522,-3.4730643048001184
LCBD nestedness,climate,579,0.08411083132244834,0.23869879203739985,0.3251371721513535,0.32870829403763413,0.08643838011395366,1.6360071909244316e-12,-55.78086739254559,0.003571121886280615,0.21524177282633064,0.9280132842295643
