response,predictor,block,beta,hdi_2.5,hdi_97.5,pd,credible
Hill_q1,Rugosity_mean,structure,-0.0986,-0.1751,-0.0235,0.9952,True
Hill_q1,Vert_CV_mean,structure,0.0556,-0.0285,0.1371,0.9034,False
Hill_q1,VCI_mean,structure,0.2739,0.205,0.3443,1.0,True
Hill_q1,LAI_mean,structure,0.4055,0.2676,0.5415,1.0,True
Hill_q1,EVI_mean,spectral,0.2366,0.1314,0.3433,1.0,True
Hill_q1,Rumple_trend,dynamics,0.091,0.016,0.1662,0.992,True
Hill_q1,Vert_SD_trend,dynamics,0.0373,-0.0484,0.1201,0.8089,False
Hill_q1,Vert_CV_trend,dynamics,0.0193,-0.063,0.1017,0.6761,False
Hill_q1,VCI_trend,dynamics,0.0381,-0.0258,0.103,0.873,False
Hill_q1,FHD_trend,dynamics,-0.0839,-0.1717,0.0032,0.9695,False
Hill_q1,LAI_trend,dynamics,0.0097,-0.0701,0.0904,0.597,False
Hill_q1,Ht_Ratio_trend,dynamics,0.1147,0.0369,0.1935,0.998,True
Hill_q2,Rugosity_mean,structure,-0.0947,-0.1754,-0.0141,0.9896,True
Hill_q2,Vert_CV_mean,structure,0.0605,-0.0282,0.1499,0.9074,False
Hill_q2,VCI_mean,structure,0.2627,0.1894,0.3356,1.0,True
Hill_q2,LAI_mean,structure,0.3995,0.2492,0.5419,1.0,True
Hill_q2,EVI_mean,spectral,0.2552,0.1425,0.3654,1.0,True
Hill_q2,Rumple_trend,dynamics,0.0709,-0.0096,0.1497,0.9577,False
Hill_q2,Vert_SD_trend,dynamics,0.0302,-0.0583,0.1194,0.7458,False
Hill_q2,Vert_CV_trend,dynamics,0.014,-0.0739,0.101,0.6241,False
Hill_q2,VCI_trend,dynamics,0.0411,-0.0287,0.1106,0.8776,False
Hill_q2,FHD_trend,dynamics,-0.0875,-0.1807,0.0042,0.9691,False
Hill_q2,LAI_trend,dynamics,0.0108,-0.0782,0.0982,0.5974,False
Hill_q2,Ht_Ratio_trend,dynamics,0.1163,0.0301,0.2009,0.9965,True
LCBD_turnover_rare,Rugosity_mean,structure,-0.0542,-0.1313,0.0237,0.9134,False
LCBD_turnover_rare,Vert_CV_mean,structure,0.0223,-0.0657,0.1112,0.6897,False
LCBD_turnover_rare,VCI_mean,structure,0.0415,-0.0271,0.1127,0.8778,False
LCBD_turnover_rare,LAI_mean,structure,0.0025,-0.1394,0.145,0.5182,False
LCBD_turnover_rare,EVI_mean,spectral,0.0461,-0.063,0.1597,0.7946,False
LCBD_turnover_rare,Rumple_trend,dynamics,0.0745,-0.0107,0.1611,0.9545,False
LCBD_turnover_rare,Vert_SD_trend,dynamics,-0.0478,-0.1341,0.0357,0.8699,False
LCBD_turnover_rare,Vert_CV_trend,dynamics,-0.0531,-0.1438,0.0339,0.8792,False
LCBD_turnover_rare,VCI_trend,dynamics,0.0155,-0.0566,0.0893,0.6587,False
LCBD_turnover_rare,FHD_trend,dynamics,0.0105,-0.0874,0.1098,0.5796,False
LCBD_turnover_rare,LAI_trend,dynamics,0.0903,0.0049,0.1751,0.9805,True
LCBD_turnover_rare,Ht_Ratio_trend,dynamics,0.0876,0.0047,0.1704,0.9804,True
LCBD_nestedness_rare,Rugosity_mean,structure,0.1371,0.0343,0.2376,0.9956,True
LCBD_nestedness_rare,Vert_CV_mean,structure,-0.121,-0.238,-0.0038,0.9784,True
LCBD_nestedness_rare,VCI_mean,structure,-0.0744,-0.1686,0.0164,0.9427,False
LCBD_nestedness_rare,LAI_mean,structure,-0.0462,-0.2294,0.1361,0.6895,False
LCBD_nestedness_rare,EVI_mean,spectral,-0.0691,-0.22,0.0767,0.8241,False
LCBD_nestedness_rare,Rumple_trend,dynamics,-0.0751,-0.1897,0.0382,0.9005,False
LCBD_nestedness_rare,Vert_SD_trend,dynamics,-0.0739,-0.1869,0.0399,0.9004,False
LCBD_nestedness_rare,Vert_CV_trend,dynamics,0.1996,0.0807,0.3205,0.9994,True
LCBD_nestedness_rare,VCI_trend,dynamics,-0.0212,-0.1186,0.0794,0.6657,False
LCBD_nestedness_rare,FHD_trend,dynamics,0.0146,-0.1177,0.1456,0.5933,False
LCBD_nestedness_rare,LAI_trend,dynamics,-0.1911,-0.3077,-0.0705,0.9994,True
LCBD_nestedness_rare,Ht_Ratio_trend,dynamics,-0.3067,-0.419,-0.198,1.0,True
