rp,rs,ctx,ctx_z,slope,se,p
Hill q1,modis_gpp,stand_age_gami,-1,0.16906436318043574,0.11299444634609034,0.1345967662612264
Hill q1,modis_gpp,stand_age_gami,0,0.27449906593996465,0.111698867304566,0.013991095082204197
Hill q1,modis_gpp,stand_age_gami,1,0.3799337686994936,0.1399929691868417,0.006648641536014299
Hill q1,VCI_mean,severity,-1,0.38527364277084347,0.07843226689301794,9.006795955723845e-07
Hill q1,VCI_mean,severity,0,0.2972209281393128,0.058641444888036895,4.0107919785370427e-07
Hill q1,VCI_mean,severity,1,0.20916821350778209,0.05421699970896657,0.00011432702620917112
