response,R2_full,R2_domain,R2_RS,unique_structure,unique_spectral,unique_dynamics,unique_productivity,shared_RS
Hill q1,0.6530016421468005,0.4904143309073834,0.16258731123941705,0.07938572079264572,0.011843908490672184,0.04096494678722995,0.009724981733024274,0.020667753435844927
Hill q2,0.601274671949779,0.4498599727993552,0.15141469915042383,0.07177859649003282,0.013499815294678141,0.03822077456305761,0.01050118637721087,0.017414326425444382
LCBD turnover,0.6273117432187408,0.5845664854662245,0.042745257752516364,0.0015242400985505666,0.0092311391986023,0.014008825353129084,0.005632734630203973,0.01234831847203044
LCBD nestedness,0.42681093576908913,0.33308823931286224,0.09372269645622688,0.023917641120557054,0.001122160185460741,0.05683440576690424,5.2622679370561976e-05,0.011795866703934288
