response,predictor,beta_fullstd,p_clustered
Hill q1,Rugosity_mean,-0.05839824867582733,0.08023889918070974
Hill q1,Vert_CV_mean,0.010400998588251803,0.8544199862109083
Hill q1,VCI_mean,0.2963961657531529,1.35670738006235e-07
Hill q1,LAI_mean,0.2565556349740236,0.0033135477255417985
Hill q1,EVI_mean,0.21941507649950626,9.437437299829114e-05
Hill q1,Rumple_trend,0.07626161308628357,0.03936212144359883
Hill q1,Vert_SD_trend,0.02837572808169005,0.6055535394188494
Hill q1,Vert_CV_trend,0.012026475274627642,0.848902517758686
Hill q1,VCI_trend,0.031425142998319736,0.28322365606594513
Hill q1,FHD_trend,-0.1227590246710834,0.0034174316489307644
Hill q1,LAI_trend,-0.023667648486850233,0.6673641921087621
Hill q1,Ht_Ratio_trend,0.10046136812500903,0.07610953300184
Hill q1,modis_gpp,0.21938422369955912,0.04492204716136935
Hill q1,pml_gpp,0.16447874838727974,0.07191017001763907
Hill q2,Rugosity_mean,-0.05507516329904977,0.09988424940868697
Hill q2,Vert_CV_mean,0.01420388441895681,0.8040099781519559
Hill q2,VCI_mean,0.28462211267273657,1.4242184359942214e-06
Hill q2,LAI_mean,0.22926331044350817,0.013825615834718767
Hill q2,EVI_mean,0.23788433351806346,8.189463852537068e-05
Hill q2,Rumple_trend,0.05558457310109927,0.18510782510873225
Hill q2,Vert_SD_trend,0.02286031900994508,0.6767569184392447
Hill q2,Vert_CV_trend,0.004297592747957692,0.94629738427399
Hill q2,VCI_trend,0.025272129230099298,0.41165510747670486
Hill q2,FHD_trend,-0.1253421880794085,0.0038589994459136906
Hill q2,LAI_trend,-0.024345041880894334,0.6695356195436182
Hill q2,Ht_Ratio_trend,0.1080412512736367,0.08730956619951412
Hill q2,modis_gpp,0.2554146321058096,0.03309781764870675
Hill q2,pml_gpp,0.16390892463280726,0.07761155998146284
LCBD turnover,Rugosity_mean,0.012296050971300015,0.820492467501296
LCBD turnover,Vert_CV_mean,0.021611061169718882,0.7817742705957238
LCBD turnover,VCI_mean,0.07076012647766233,0.21814198354458558
LCBD turnover,LAI_mean,0.062081922765260734,0.6063866696132324
LCBD turnover,EVI_mean,0.07424307066241194,0.5713138652186533
LCBD turnover,Rumple_trend,0.0919195670965609,0.18487938099252632
LCBD turnover,Vert_SD_trend,-0.05962290808590372,0.42827657701092325
LCBD turnover,Vert_CV_trend,0.023846794093500358,0.7115977719514597
LCBD turnover,VCI_trend,0.07179946883913314,0.2139464415323339
LCBD turnover,FHD_trend,-0.04087609208977228,0.4576276070251927
LCBD turnover,LAI_trend,0.14613488300342314,0.05397172667235567
LCBD turnover,Ht_Ratio_trend,0.044700323324919085,0.5359499098476541
LCBD turnover,modis_gpp,-0.24037593193286838,0.041814649609884236
LCBD turnover,pml_gpp,0.36193151246253097,0.016205485120150985
LCBD nestedness,Rugosity_mean,0.12763587459515127,0.08599312490481623
LCBD nestedness,Vert_CV_mean,-0.14744113735959574,0.00790138280273807
LCBD nestedness,VCI_mean,-0.08656149766625185,0.2984460874499192
LCBD nestedness,LAI_mean,-0.11993603422285512,0.2977110323718132
LCBD nestedness,EVI_mean,-0.04409952374195274,0.6235714468459376
LCBD nestedness,Rumple_trend,-0.11349754184908874,0.2288035920556617
LCBD nestedness,Vert_SD_trend,-0.11000188885714855,0.03609903504540647
LCBD nestedness,Vert_CV_trend,0.16560373527466854,0.010729946715003717
LCBD nestedness,VCI_trend,-0.07307624231950079,0.14196805902462292
LCBD nestedness,FHD_trend,0.05848339318023541,0.4249447595707959
LCBD nestedness,LAI_trend,-0.2523539514310041,2.35110760886507e-05
LCBD nestedness,Ht_Ratio_trend,-0.28644433787937906,0.003270723342009957
LCBD nestedness,modis_gpp,0.3010061039824894,0.003464729836934956
LCBD nestedness,pml_gpp,-0.17689644752847905,0.10739566737310839
