family,context,response,rs,beta_int,p,n,q,sig
disturbance,recency,Hill q1,VCI_mean,-0.1412776556735628,0.013785785526830956,148,0.08577822105583705,False
disturbance,recency,Hill q1,LAI_mean,-0.18222725382498373,0.10990022687412787,148,0.24617650819804643,False
disturbance,recency,Hill q1,EVI_mean,-0.13704043420662754,0.17394375257508843,148,0.30967457296194223,False
disturbance,recency,Hill q1,modis_gpp,-0.14677205126211668,0.0004146121173242578,149,0.00580456964253961,True
disturbance,recency,Hill q1,pml_gpp,-0.06083876862423809,0.39236544129834217,149,0.5231539217311229,False
disturbance,recency,Hill q2,Rugosity_mean,-0.015101276336255109,0.7320393839728052,148,0.8357860497573167,False
disturbance,recency,Hill q2,Vert_CV_mean,-0.032311746614922025,0.18789399224142134,148,0.31885041107635137,False
disturbance,recency,Hill q2,VCI_mean,-0.13439914788257662,0.009409691768849067,148,0.07527753415079254,False
disturbance,recency,Hill q2,LAI_mean,-0.17867870218776383,0.09741415000482025,148,0.2319345613729791,False
disturbance,recency,Hill q2,EVI_mean,-0.14913918897995718,0.13495726057807025,148,0.2699145211561405,False
disturbance,recency,Hill q2,modis_gpp,-0.14251469070956746,0.0002654525234570696,149,0.0049551137711986324,True
disturbance,recency,Hill q2,pml_gpp,-0.06153851184484567,0.37445600537765533,149,0.5231539217311229,False
disturbance,recency,turnover,Rugosity_mean,0.017584432959528152,0.600081727863672,122,0.7467683724525696,False
disturbance,recency,turnover,Vert_CV_mean,-0.04868037599701427,0.06074457542255973,122,0.21260601397895906,False
disturbance,recency,turnover,VCI_mean,-0.02739472330053824,0.05088524089581729,122,0.1899715660110512,False
disturbance,recency,turnover,LAI_mean,-0.057991851649046994,0.03736226230632737,122,0.1695742977171223,False
disturbance,recency,turnover,EVI_mean,-0.057709780395208035,0.17695689883539556,122,0.30967457296194223,False
disturbance,recency,turnover,modis_gpp,0.016326702055260683,0.4798243885907476,122,0.6248875758391131,False
disturbance,recency,turnover,pml_gpp,0.06519545454172457,0.09617497633586868,122,0.2319345613729791,False
disturbance,recency,nestedness,Rugosity_mean,-0.012079258746309855,0.13376994813282847,122,0.2699145211561405,False
disturbance,recency,nestedness,Vert_CV_mean,0.0100501504350696,0.08659886002775953,122,0.2319345613729791,False
disturbance,recency,nestedness,VCI_mean,0.011957053572284982,0.08275272781653029,122,0.2319345613729791,False
disturbance,recency,nestedness,LAI_mean,0.024056461401244688,0.03936546197004625,122,0.1695742977171223,False
disturbance,recency,nestedness,EVI_mean,0.02494805326901353,0.07561625772731008,122,0.2319345613729791,False
disturbance,recency,nestedness,modis_gpp,-0.0010680477785397638,0.8971748076609911,122,0.9013093524732115,False
disturbance,recency,nestedness,pml_gpp,-0.01678859584916156,0.30864014624977265,122,0.46713103216181806,False
land use,lc_edge,Hill q1,Rugosity_mean,-0.011449890853604386,0.7491933841102854,666,0.947659555586051,False
land use,lc_edge,Hill q1,Vert_CV_mean,-0.05019988848101885,0.040474975371166476,666,0.2817592619671161,False
land use,lc_edge,Hill q1,VCI_mean,-0.030307696190053846,0.4272534193576293,666,0.7636018558732097,False
land use,lc_edge,Hill q1,LAI_mean,-0.004765039860584481,0.9173671040675215,666,0.9834439434650144,False
land use,lc_edge,Hill q1,EVI_mean,-0.034686770010850736,0.3453215912724291,645,0.7415698326370126,False
land use,lc_edge,Hill q1,modis_gpp,-0.01823235449814051,0.6314302308095459,683,0.8840023231333641,False
land use,lc_edge,Hill q1,pml_gpp,-0.03329727272860407,0.46639446969270393,683,0.7920774723530182,False
land use,lc_edge,Hill q2,Rugosity_mean,-0.017394986359636176,0.5702354287498435,666,0.8664651935388072,False
land use,lc_edge,Hill q2,Vert_CV_mean,-0.04366237524511224,0.04470288045197251,666,0.2817592619671161,False
land use,lc_edge,Hill q2,VCI_mean,-0.03629030214310948,0.28506390881236077,666,0.6651491205621751,False
land use,lc_edge,Hill q2,LAI_mean,-0.012966562184615098,0.7688592846656216,666,0.9497673516457679,False
land use,lc_edge,Hill q2,EVI_mean,-0.040230688525014664,0.23414674437325855,645,0.5960098947682945,False
land use,lc_edge,Hill q2,modis_gpp,-0.02155131618421044,0.5308682919510751,683,0.8522179029395142,False
land use,lc_edge,Hill q2,pml_gpp,-0.03382748614332455,0.40206775884991164,683,0.7595739949649514,False
land use,lc_edge,turnover,Rugosity_mean,-0.004655392607351681,0.7091620380380963,600,0.947659555586051,False
land use,lc_edge,turnover,Vert_CV_mean,0.0018166551826039653,0.9299939963179931,600,0.9834439434650144,False
land use,lc_edge,turnover,VCI_mean,0.0005506064790596708,0.9726954020849214,600,0.9844146237967879,False
land use,lc_edge,turnover,LAI_mean,0.04313641267790474,0.004613272112048577,600,0.0775029714824161,False
land use,lc_edge,turnover,EVI_mean,0.059035592482067654,4.628557190849552e-05,579,0.0019439940201568119,True
land use,lc_edge,turnover,modis_gpp,0.013654417266345928,0.35312849173191074,616,0.7415698326370126,False
land use,lc_edge,turnover,pml_gpp,0.0161090682688919,0.24908882529184728,616,0.6153959213092698,False
land use,lc_edge,nestedness,Rugosity_mean,-0.002367071754018773,0.606361880184298,600,0.8781792747496731,False
land use,lc_edge,nestedness,Vert_CV_mean,0.005951128190217489,0.0801525670757735,600,0.3408712205526603,False
land use,lc_edge,nestedness,VCI_mean,0.004539836325072007,0.18431290394329758,600,0.5160761310412332,False
land use,lc_edge,nestedness,LAI_mean,-0.004568619636523783,0.22284730763043492,600,0.5849741825298918,False
land use,lc_edge,nestedness,EVI_mean,-0.005747026860838639,0.179777745220162,579,0.5160761310412332,False
land use,lc_edge,nestedness,modis_gpp,-0.006479034968003309,0.13582431902289005,616,0.4750668091231294,False
land use,lc_edge,nestedness,pml_gpp,-0.007124385086373308,0.1549232866193422,616,0.477314461339022,False
land use,lc_shannon,Hill q1,Rugosity_mean,0.010579861210235993,0.7310131957209531,666,0.947659555586051,False
land use,lc_shannon,Hill q1,Vert_CV_mean,-0.04967189596514929,0.04730837033821351,666,0.2817592619671161,False
land use,lc_shannon,Hill q1,VCI_mean,-0.015353401649738422,0.6180049326595427,666,0.8798714295491795,False
land use,lc_shannon,Hill q1,LAI_mean,0.03328253667813873,0.39979322657864413,666,0.7595739949649514,False
land use,lc_shannon,Hill q1,EVI_mean,0.01319397696501124,0.7558713121936359,645,0.947659555586051,False
land use,lc_shannon,Hill q1,modis_gpp,0.0057644663390952495,0.8518391949634506,683,0.9834439434650144,False
land use,lc_shannon,Hill q1,pml_gpp,-0.0026299660421373657,0.9411336205513917,683,0.9834439434650144,False
land use,lc_shannon,Hill q2,Rugosity_mean,0.0028277669607255362,0.915458707442009,666,0.9834439434650144,False
land use,lc_shannon,Hill q2,Vert_CV_mean,-0.045836018796396455,0.05366843085087925,666,0.2817592619671161,False
land use,lc_shannon,Hill q2,VCI_mean,-0.022058547678686022,0.416587837481014,666,0.7607256162696777,False
land use,lc_shannon,Hill q2,LAI_mean,0.027282339302598158,0.4755852784763044,666,0.7920774723530182,False
land use,lc_shannon,Hill q2,EVI_mean,0.008820068478570725,0.8145228501089498,645,0.9834439434650144,False
land use,lc_shannon,Hill q2,modis_gpp,0.0016243604256676817,0.9545570920815838,683,0.9834439434650144,False
land use,lc_shannon,Hill q2,pml_gpp,-0.006637851873624409,0.8368587524937559,683,0.9834439434650144,False
land use,lc_shannon,turnover,Rugosity_mean,-0.008224254318267236,0.5377089149499316,600,0.8522179029395142,False
land use,lc_shannon,turnover,Vert_CV_mean,-0.01019456958648129,0.4766485180317901,600,0.7920774723530182,False
land use,lc_shannon,turnover,VCI_mean,-0.010728744660055396,0.4069146401597954,600,0.7595739949649514,False
land use,lc_shannon,turnover,LAI_mean,0.02320652681678756,0.0606148137369315,600,0.29950849140601443,False
land use,lc_shannon,turnover,EVI_mean,0.04822627918495218,0.0003357517057551248,579,0.009401047761143496,True
land use,lc_shannon,turnover,modis_gpp,0.016119213607072302,0.10081415147887904,616,0.3849267601920836,False
land use,lc_shannon,turnover,pml_gpp,0.012029013910893435,0.3497019959670512,616,0.7415698326370126,False
land use,lc_shannon,nestedness,Rugosity_mean,-0.0031350637707175067,0.37205958243026505,600,0.7595739949649514,False
