response,wald_F_dyn,p_dyn_wildboot,wald_F_fun,p_fun_wildboot
Hill q1,8.818354319113757,0.018,8.308246060568855,0.011
Hill q2,9.092863423588518,0.009,9.069298707626533,0.006
LCBD turnover,1.2254446245850736,0.762,6.356604633634904,0.04
LCBD nestedness,4.082417605514249,0.162,3.3378417437976156,0.183
