trend,beta_cont,p_cont,beta_binned,p_binned,n
VCI_trend,-0.001575651432189955,0.000879193516188292,-0.001625604811415704,0.0005191400047000001,419
LAI_trend,-0.0183725462968421,0.0029297600156063426,-0.015434576057953876,0.012224747564476097,419
Deep_Gap_trend,0.003732303538446886,0.00018765311968157934,0.003986642140328189,5.3188561399650556e-05,419
Canopy_Ht_trend,0.074464867257368,0.001275760538561619,0.06492486369887222,0.004670149484872597,419
FHD_trend,-0.0017540622892370213,0.4984694730925241,-0.0031601320612514214,0.21705789990990365,419
Rugosity_trend,0.008254733761666173,0.44112514963523874,0.0026367715459506506,0.8038474725939162,419
Max_Ht_trend,0.03579188383057981,0.1871439138160519,0.02009613338809421,0.4543052834976835,419
Gini_trend,0.0002585965873302741,0.623719542921734,0.0007306697086625825,0.15771858185381038,419
