response,naive_r,control_rtm_r,inter_pre_beta,inter_pre_p,inter_mean_beta,inter_mean_p,n
ΔCanopyHt,-0.3029173693125994,-0.26047028861014615,-0.2704582386170762,0.13450923161398806,-0.03396955847200722,0.8565675179960823,506
ΔFHD,-0.2605381836174691,-0.2997863110825452,-0.018630425589111068,0.37692855988211416,0.015783590268658585,0.46921813996266004,492
ΔRichness,-0.05563735751502831,-0.15287573254534859,0.22648637839706678,0.2578956272747476,0.32516035940913707,0.10677556085009979,373
