src,response,rs,beta_int,p_int,n
30m,Hill q1,SAVI_mean,0.0405933420468923,0.28034859023550684,588
30m,Hill q1,FHD_mean,0.08849967746910374,0.01948763326737784,609
30m,Hill q2,SAVI_mean,0.04006649181497514,0.3065752286350052,588
30m,Hill q2,Gini_mean,-0.013522578223061707,0.7119999281241602,609
30m,Turnover,VCI_mean,0.010539963839337302,0.6887907850657566,566
