src,response,beta_lin,p_lin,beta_quad,p_quad,n,hump
gami,Hill q1,0.19162618582631155,0.0018688826950293705,-0.08739027731483417,0.022918136389814114,639,True
gami,Turnover,0.12722717010053441,0.017407079299943663,-0.03146088039669729,0.3058441141431796,588,False
