spec,n_impact,n_control,drich_lmm_beta,drich_lmm_p,drich_med_diff,drich_mannw_p,dq1_lmm_beta,dq1_lmm_p
"all, site_median, N>=3",79,234,-1.2624776973539735,0.020615799140592934,-1.0,0.0010515425870170315,-0.47137659922135927,0.1931274498357387
"all, global_median, N>=3",79,331,0.025978572102637734,0.9536694069969865,-1.0,4.74331670248272e-07,0.14937525810636168,0.579317879035498
"all, fixed_2018, N>=3",79,373,0.10563415927489757,0.7993108799469235,-1.0,1.8227716666883657e-06,0.12161239365321608,0.642170677258564
"all, random_impact, N>=3",79,214,-0.6256922738727931,0.18853016022431435,-1.0,1.3607614778348516e-05,-0.3701071587746538,0.0961668330237148
"all, site_median, N>=5",78,232,-1.2348917410671134,0.02798478743860061,-1.0,0.0014804224752231845,-0.4095837585321489,0.27154776760834576
"all, site_median, N>=10",74,225,-1.302857380476639,0.02665088695964675,-1.5,0.0006261404013104497,-0.40388435273227974,0.2961696485801708
"AUTH only, site_median, N>=3",72,210,-0.9500000000000054,0.2307360223756677,-1.5,0.00020262568522125016,-0.4027844822959769,0.20209279893482013
"AUTH only, global_median, N>=3",72,340,0.2817681769164403,0.5665005499222853,-1.5,6.114146699094923e-06,0.19624508042735891,0.5370304216063433
