index,raw,domain,ftype,evergreen,ft_site,decid_only,n,n_decid
Hill q1,1.7216817309834418e-15,0.003148228941622627,9.434129947929924e-06,2.4421998699580617e-05,0.11554995215481019,0.1062283140664189,487,153
Hill q2,7.789751589464886e-14,0.005240904084285523,1.8888317627892493e-05,7.5002370563902e-05,0.12290793438680522,0.12213857576819041,487,153
turnover,5.745948388012978e-29,0.0019802652421398426,4.7930543953074414e-14,7.001030991165388e-13,0.7900034037254207,0.7484935150747063,445,150
nestedness,0.002541154907372378,0.06586586424109674,0.27387009516587074,0.8991391924434562,0.28698622905740323,0.41364546031475047,445,150
