src,response,beta_lin,p_lin,beta_quad,p_quad,n,hump
30m,Hill q1,0.20063993126798074,0.04118907631588295,0.1219931406152624,0.09796163366545922,490,False
30m,Hill q2,0.2101389900065525,0.03773057761954275,0.12610396928055823,0.09647812590320691,490,False
30m,Nestedness,0.06093938671076609,0.5968454576004744,0.06763815056562818,0.42026820269426446,456,False
