plotID,rich_after,rich_before,q1_after,q1_before,q2_after,q2_before,cov_after,cov_before,nyr_after,nyr_before,drich,dq1,dq2,impact,severity,recency
ABBY_007,3.0,3.0,2.257550050764361,2.414596666096506,2.0430939226519342,2.245614035087719,1.0,0.9375,3.0,1.0,0.0,-0.15704661533214503,-0.20252011243578494,1,1.564579105128627,8.0
BLAN_001,8.0,10.0,2.7615873683789744,3.294992210336148,1.8039369198076278,1.977401129943503,1.0,0.9289831206257719,2.0,1.0,-2.0,-0.5334048419571737,-0.1734642101358752,0,0.0,
BLAN_005,10.0,11.0,2.599179212392453,3.6920171361339773,1.6012254276231808,2.0558375634517767,0.9919425087108014,0.8464387464387464,2.0,1.0,-1.0,-1.0928379237415244,-0.45461213582859594,0,0.0,
BLAN_007,6.0,6.0,1.5352654881921837,1.7816033465888217,1.1955324546748343,1.3215859030837,1.0,0.9333333333333333,3.0,1.0,0.0,-0.24633785839663802,-0.1260534484088658,0,0.0,
BLAN_009,5.0,5.0,2.1492089293378553,2.4281751298847354,1.584507042253521,1.7888198757763978,1.0,0.9583333333333334,3.0,1.0,0.0,-0.27896620054688004,-0.20431283352287677,0,0.0,
BLAN_011,6.0,6.0,1.6303572906423334,1.6325468666377434,1.241155536947875,1.2402097329182369,1.0,0.977533960292581,2.0,1.0,0.0,-0.0021895759954100313,0.0009458040296381753,0,0.0,
BLAN_012,5.0,5.0,2.179864496813445,2.7884303794143706,1.6171188383645396,2.073354908306365,1.0,1.0,3.0,1.0,0.0,-0.6085658826009257,-0.4562360699418253,0,0.0,
BLAN_013,8.0,9.0,1.8391400716542312,2.648515197489752,1.3412456783115743,1.7352839931153181,0.9957633445315416,0.9154929577464789,3.0,1.0,-1.0,-0.8093751258355206,-0.39403831480374385,0,0.0,
BLAN_015,6.0,6.0,3.0125451853066254,3.572847548087392,2.2883910386965374,2.94601226993865,1.0,0.9600166597251145,3.0,1.0,0.0,-0.5603023627807664,-0.6576212312421128,0,0.0,
BLAN_017,7.0,7.0,2.722276061074229,3.270433581869421,1.8130489335006277,2.168168168168168,1.0,0.9224499301350721,3.0,1.0,0.0,-0.5481575207951916,-0.35511923466754025,0,0.0,
BLAN_018,7.0,7.0,2.53156897731686,2.298983109154168,1.6427350427350422,1.5247058823529416,1.0,0.8626804770872567,3.0,1.0,0.0,0.23258586816269178,0.11802916038210065,0,0.0,
BLAN_032,3.0,4.0,2.2043942566881434,3.4579789224902,1.8023850085178876,3.1025641025641026,1.0,0.9242424242424242,9.0,2.0,-1.0,-1.2535846658020566,-1.300179094046215,0,0.0,
BLAN_035,1.0,3.0,1.0,2.0867794400977164,1.0,1.6842105263157894,1.0,0.75,9.0,2.0,-2.0,-1.0867794400977164,-0.6842105263157894,0,0.0,
BLAN_036,2.0,3.0,1.2091862024329787,2.029492753219272,1.0986598403854841,1.7313019390581716,1.0,1.0,9.0,2.0,-1.0,-0.8203065507862934,-0.6326420986726875,0,0.0,
BLAN_044,3.0,4.0,2.3543813478918763,3.7467482975009925,2.0962566844919786,3.5555555555555554,1.0,0.9204545454545454,9.0,2.0,-1.0,-1.3923669496091162,-1.4592988710635768,0,0.0,
BLAN_047,3.0,4.0,2.070355421342049,2.5557287766111028,1.8571641124832616,2.1025641025641026,1.0,1.0,7.0,4.0,-1.0,-0.4853733552690538,-0.245399990080841,1,0.1216850618013932,6.0
BLAN_048,7.0,8.0,5.424964123392294,7.25622715782012,4.538752362948961,6.74766355140187,1.0,1.0,3.0,2.0,-1.0,-1.8312630344278258,-2.208911188452909,0,0.0,
BLAN_050,2.0,4.0,1.208293435912422,3.2046259375206603,1.098123324396783,2.6915887850467293,1.0,1.0,3.0,2.0,-2.0,-1.9963325016082383,-1.5934654606499463,0,0.0,
BLAN_052,5.0,6.0,3.994816888558724,5.521824821456481,3.5188284518828445,5.1489361702127665,0.9655172413793104,1.0,3.0,2.0,-1.0,-1.527007932897757,-1.630107718329922,0,0.0,
BLAN_053,2.0,3.0,2.0,2.381101577952299,2.0,2.0,1.0,1.0,3.0,2.0,-1.0,-0.38110157795229904,0.0,0,0.0,
BLAN_055,1.0,2.0,1.0,1.305236777831472,1.0,1.1611030478955007,1.0,1.0,3.0,2.0,-1.0,-0.30523677783147196,-0.16110304789550067,0,0.0,
BLAN_057,1.0,3.0,1.0,2.137308637435014,1.0,1.7536231884057971,1.0,1.0,3.0,2.0,-2.0,-1.137308637435014,-0.7536231884057971,0,0.0,
BLAN_063,6.0,9.0,4.502578366071036,5.085710630505839,3.656716417910448,3.790830945558739,1.0,0.9692460317460317,3.0,2.0,-3.0,-0.5831322644348029,-0.13411452764829113,0,0.0,
GRSM_047,13.0,11.0,10.004368442336563,8.025345399807687,8.269580475354921,6.480061349693252,0.9968944099378882,0.9846153846153847,5.0,2.0,2.0,1.9790230425288762,1.789519125661669,1,1.3701622544080323,8.0
GRSM_048,25.0,20.0,13.667585980171443,12.46721103911572,9.900732302685109,8.332443257676902,0.9957537734133479,0.9521288837744534,6.0,1.0,5.0,1.200374941055724,1.568289045008207,1,0.0,9.0
GRSM_049,19.0,16.0,8.361714896270426,7.2853869633790955,6.013938043430769,5.372227979274612,0.9919427816518024,0.9817467359614653,5.0,2.0,3.0,1.0763279328913304,0.6417100641561566,1,0.5,8.0
