plotID,siteID,year,Canopy_Ht,Max_Ht,Rumple,Rugosity,Deep_Gap,Vert_SD,Vert_CV,Gini,VCI,FHD,LAI,Q95,Ht_Ratio,NDVI,EVI,ARVI,SAVI,domain
STEI_062,STEI,2019,6.542778313159943,12.503777146339417,1.5325695723295212,3.094973936676979,0.1170479175634682,2.431209683418274,0.372041879221797,0.2105429973453283,0.8818589225411415,2.096130758523941,1.8561079427599907,10.092591404914856,93.81548643112184,,,,,D05
STEI_062,STEI,2020,7.035401314496994,12.863752722740172,1.491885744035244,3.153322324156761,0.0963237623218447,2.5138872116804123,0.3578077759593725,0.2000015303492546,0.8765493668615818,2.1485986560583115,1.999528020620346,10.64065033197403,89.66658782958984,,,,,D05
STEI_062,STEI,2022,7.494557201862335,13.279360711574554,1.4831407889723778,3.324895426630974,0.0857349983416497,2.725455477833748,0.3642352893948555,0.2041140394285321,0.891821376979351,2.219496846199036,2.0976106598973274,11.29814237356186,82.35444259643555,0.907576620578766,0.6837698221206665,0.8994316458702087,0.6159572601318359,D05
STEI_062,STEI,2024,8.16249430179596,13.704351663589478,1.4909435212612152,3.654677480459213,0.0896338110323995,2.984689682722092,0.3666641898453235,0.2041284376755356,0.8980732858181,2.3063449412584305,2.077111959457397,12.066508829593658,70.89655113220215,0.9050490260124208,0.6791381239891052,0.902698576450348,0.6085562705993652,D05
STEI_062,STEI,2025,8.50617903470993,14.056822776794434,1.446960560977459,3.556953966617584,0.0659182218369096,3.002690136432648,0.3536386769264936,0.1959797041490674,0.8850962556898594,2.3313028663396835,2.3606284260749817,12.337453603744509,65.13632249832153,0.920318841934204,0.7139424085617065,0.9278369545936584,0.6318073868751526,D05
TALL_001,TALL,2015,20.011061310768127,31.68245530128479,1.455159671604633,8.59331476688385,0.0193076581490458,8.30603113770485,0.4306091070175171,0.2370303561910987,0.8741788491606712,2.8351857662200928,3.648904219269753,29.855045914649963,22.106198459863663,,,,,D08
TALL_001,TALL,2016,20.210047006607056,31.971017241477966,1.5461421385407448,9.700337380170822,0.0981407812796533,8.138317614793777,0.4157254993915558,0.2303338032215833,0.8867190964519978,3.041521355509758,2.2774440199136734,30.457952618598934,26.554831951856613,,,,,D08
TALL_001,TALL,2017,20.318261742591854,31.6403284072876,1.5259315147995949,9.379568308591844,0.0836658221669495,8.165832430124283,0.4179197391495108,0.2276189690455794,0.8460382483899593,2.8527167439460754,2.492177203297615,30.3295921087265,25.979393929243088,0.8811483979225159,0.5338229537010193,0.8529337644577026,0.5066379904747009,D08
TALL_001,TALL,2018,19.534086763858795,32.36426043510437,1.5657577514648438,9.927009582519531,0.07766043394804,8.900958120822906,0.468411173671484,0.2577448906376958,0.911513701081276,3.1473825722932816,2.162821471691132,30.256470561027527,28.394323647022247,,,,,D08
TALL_001,TALL,2019,20.945165932178497,32.16619694232941,1.5451851189136503,9.949279189109802,0.1065710119437426,8.226990938186646,0.4032375644892454,0.220225652679801,0.8683630153536797,3.036443844437599,2.1516701951622963,30.77247929573059,25.7260901927948,,,,,D08
TALL_001,TALL,2021,20.528663098812103,32.714205622673035,1.4839304983615875,9.153273791074753,0.0578551195794716,8.098172068595886,0.4046915005892515,0.2223889911547303,0.90547713637352,3.1565130203962326,2.729927197098732,30.59991240501404,22.067441284656525,,,,,D08
TALL_001,TALL,2023,20.225066900253296,32.88550913333893,1.4798859283328056,9.253953576087952,0.0343259373912587,8.678243935108185,0.4351449124515056,0.2398367058485746,0.9083373807370664,3.158070147037506,2.707864806056022,30.890586256980896,21.525798738002777,0.8609883189201355,0.4890298545360565,0.8323388695716858,0.4700624346733093,D08
TALL_001,TALL,2024,19.89487487077713,33.00852072238922,1.5081333667039871,9.529159426689148,0.0411488864920102,8.914279699325562,0.4559745900332927,0.2514065867289901,0.912184089422226,3.190592721104622,2.451138094067573,30.83257567882538,23.5330873131752,0.8508584499359131,0.589495062828064,0.8067991137504578,0.5508397221565247,D08
TALL_002,TALL,2015,16.854596257209778,25.934930443763733,1.30670877546072,5.012381032109261,0.0270610569277778,4.345555670559406,0.2570819458924234,0.1406433987431228,0.8092775158584118,2.686419755220413,3.6957605183124542,23.308931946754456,10.45927944034338,,,,,D08
TALL_002,TALL,2016,16.138431787490845,25.752249598503116,1.409227192401886,6.178264975547791,0.0653683060081675,4.975928723812103,0.3068688008934259,0.1686647953465581,0.849995069205761,2.7815367579460144,2.75140032172203,23.358856797218323,18.613275796175003,,,,,D08
TALL_002,TALL,2017,16.347705483436584,25.61894965171814,1.4509229212999344,6.5116943418979645,0.0992444398580119,4.885705232620239,0.2982376459985971,0.1626018742099404,0.8288298361003399,2.710514217615128,2.449625797569752,23.4523104429245,20.959793269634247,0.8334296941757202,0.4917621612548828,0.7957597374916077,0.470449298620224,D08
TALL_002,TALL,2018,16.17536360025406,26.48583495616913,1.4737407937645912,6.868413746356964,0.0989540084847249,5.22912061214447,0.3239444121718406,0.1770404931157827,0.8790428377687931,2.952628806233406,2.3057213574647903,23.632580041885376,21.93435424566269,,,,,D08
TALL_002,TALL,2019,17.232876181602478,26.53345370292664,1.4717645570635796,7.191923975944519,0.1087224618531763,5.253358080983162,0.3056124309077859,0.1651324476115405,0.8431601226329803,2.820515900850296,2.1846578046679497,24.108080506324768,21.146151304244995,,,,,D08
TALL_002,TALL,2021,16.033661127090454,26.282427072525024,1.4339608028531077,6.4347928166389465,0.0613973516738042,5.424599647521973,0.3429400976747274,0.1906485063955187,0.9009836874902248,2.983394593000412,2.740889899432659,23.661827206611637,21.13276445865631,,,,,D08
TALL_002,TALL,2023,16.569942712783813,26.59874212741852,1.410565547645092,6.316964030265808,0.0541132718208245,5.341856390237808,0.3283229945227504,0.1838190453127026,0.8913156650960445,2.9520268589258194,3.020735926926136,24.098448514938354,19.172792464494705,0.8622252941131592,0.4840587675571441,0.8388969898223877,0.4641022980213165,D08
TALL_002,TALL,2024,16.552368104457855,26.69758450984955,1.4231319949030876,6.499175995588303,0.0601188119035214,5.376770734786987,0.330450365319848,0.1845468506217003,0.8975150473415852,2.988225623965264,2.714812606573105,24.11805009841919,19.214235842227936,0.8596749901771545,0.5409933924674988,0.8221331238746643,0.5139539241790771,D08
