plotID,insitu_mortdmg_max,insitu_peak_year,insitu_spike,insitu_burn,insitu_insect,insitu_dead_max,insitu_dist,neon_event,neon_event_year,neon_event_type,remark_year,remark,remote_dist,remote_year,remote_sev,d_fire,d_loss,d_spec,neon_dist,neon_dist_year,neon_severity,neon_dist_type,disturbed,dist_year,severity,recency
ABBY_062,0.2156862745098039,2024.0,0.2156862745098039,0.0,0.0130718954248366,0.15527950310559,0,1,2018.0,harvest,,0,1,2006.0,1.0,0.0,1.0,0.0,1,2018.0,0.2156862745098039,harvest,1,2018.0,0.2156862745098039,7.0
ABBY_063,0.3671875,2017.0,0.3265370934959349,0.0,0.0155038759689922,0.0757575757575757,1,0,,,,0,1,2006.0,1.0,0.0,1.0,0.0,1,2017.0,0.3671875,insect,1,2017.0,0.3671875,8.0
ABBY_064,0.1483253588516746,2019.0,0.1233253588516746,0.0,0.0,0.081081081081081,0,1,2018.0,harvest,,0,1,2006.0,1.0,0.0,1.0,0.0,1,2018.0,0.1483253588516746,harvest,1,2018.0,0.1483253588516746,7.0
ABBY_065,0.2,2015.0,0.1879518072289156,0.0,0.0,0.2,0,1,2018.0,harvest,,0,1,2006.0,1.0,0.0,1.0,0.0,1,2018.0,0.2,harvest,1,2018.0,0.2,7.0
ABBY_066,0.1095890410958904,2015.0,0.0,0.0,0.0,0.1095890410958904,0,1,2018.0,harvest,,0,1,2006.0,1.0,0.0,1.0,0.0,1,2018.0,0.1095890410958904,harvest,1,2018.0,0.1095890410958904,7.0
ABBY_067,0.1891891891891892,2017.0,0.1891891891891892,0.0,0.0,0.0259740259740259,0,0,,,,0,1,2006.0,0.75,0.0,1.0,0.0,0,2017.0,0.1891891891891892,mortality,0,,0.1891891891891892,
ABBY_068,0.1041666666666666,2017.0,0.078525641025641,0.0,0.0,0.058252427184466,0,1,2018.0,harvest,,0,1,2006.0,1.0,0.0,1.0,0.0,1,2018.0,0.1041666666666666,harvest,1,2018.0,0.1041666666666666,7.0
ABBY_069,0.2424242424242424,2018.0,0.2296853889210577,0.0,0.0083333333333333,0.0425531914893617,0,1,2018.0,harvest,,0,1,2006.0,1.0,0.0,1.0,0.0,1,2018.0,0.2424242424242424,harvest,1,2018.0,0.2424242424242424,7.0
ABBY_070,0.3252032520325203,2018.0,0.3252032520325203,0.0,0.0277777777777777,0.0701754385964912,1,1,2018.0,harvest,,0,1,2006.0,1.0,0.0,1.0,0.0,1,2018.0,0.3252032520325203,harvest,1,2018.0,0.3252032520325203,7.0
ABBY_073,0.3090909090909091,2017.0,0.192586054721977,0.0129870129870129,0.0,0.1170212765957446,1,1,2018.0,harvest,,0,1,2006.0,1.0,0.0,1.0,0.0,1,2018.0,0.3090909090909091,harvest,1,2018.0,0.3090909090909091,7.0
ABBY_074,0.2045454545454545,2018.0,0.1830400782013685,0.0,0.0,0.0227272727272727,0,1,2018.0,harvest,,0,1,2006.0,1.0,0.0,1.0,0.0,1,2018.0,0.2045454545454545,harvest,1,2018.0,0.2045454545454545,7.0
ABBY_075,0.3333333333333333,2018.0,0.2708333333333333,0.0,0.0,0.0625,1,1,2018.0,harvest,,0,1,2006.0,1.0,0.0,1.0,0.0,1,2018.0,0.3333333333333333,harvest,1,2018.0,0.3333333333333333,7.0
ABBY_076,0.1363636363636363,2017.0,0.102655771195097,0.0,0.0,0.0338983050847457,0,1,2018.0,harvest,,0,1,2006.0,1.0,0.0,1.0,0.0,1,2018.0,0.1363636363636363,harvest,1,2018.0,0.1363636363636363,7.0
ABBY_077,0.1320754716981132,2024.0,0.0,0.0,0.0,0.0377358490566037,0,0,,,,0,1,2010.0,1.0,0.0,1.0,0.0,0,2024.0,0.1320754716981132,mortality,0,,0.1320754716981132,
BART_001,0.3285714285714285,2021.0,0.0988416988416988,0.0,0.0,0.1714285714285714,0,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2021.0,0.3285714285714285,mortality,0,,0.3285714285714285,
BART_002,0.7409638554216867,2016.0,0.030437539632213,0.0,0.0789473684210526,0.0963855421686747,1,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2016.0,0.7409638554216867,insect,0,,0.7409638554216867,
BART_003,0.5348837209302326,2016.0,0.1682170542635659,0.0,0.05,0.3255813953488372,1,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2016.0,0.5348837209302326,insect,0,,0.5348837209302326,
BART_004,0.5686274509803921,2021.0,0.0219607843137255,0.0,0.0,0.0980392156862745,1,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2021.0,0.5686274509803921,mortality,0,,0.5686274509803921,
BART_005,0.2871287128712871,2021.0,0.1128167862657825,0.0,0.0,0.110091743119266,0,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2021.0,0.2871287128712871,mortality,0,,0.2871287128712871,
BART_006,0.89,2016.0,0.0282978723404255,0.0,0.0,0.11,1,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2016.0,0.89,mortality,0,,0.89,
BART_007,0.2166666666666666,2016.0,0.0324561403508771,0.0,0.0,0.0526315789473684,0,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2016.0,0.2166666666666666,mortality,0,,0.2166666666666666,
BART_010,0.6193548387096774,2016.0,0.0243135163956278,0.0,0.0082644628099173,0.2387096774193548,1,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2016.0,0.6193548387096774,insect,0,,0.6193548387096774,
BART_011,0.3026315789473684,2021.0,0.0557179987004548,0.0,0.0,0.0526315789473684,0,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2021.0,0.3026315789473684,mortality,0,,0.3026315789473684,
BART_012,0.9285714285714286,2016.0,0.0043290043290042,0.0,0.0,0.0909090909090909,1,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2016.0,0.9285714285714286,mortality,0,,0.9285714285714286,
BART_013,0.6344086021505376,2021.0,0.0927419354838708,0.0,0.0,0.125,1,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2021.0,0.6344086021505376,mortality,0,,0.6344086021505376,
BART_015,0.5681818181818181,2016.0,0.0056818181818181,0.0,0.0,0.1136363636363636,1,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2016.0,0.5681818181818181,mortality,0,,0.5681818181818181,
BART_016,0.4833333333333333,2021.0,0.0635802469135802,0.0,0.0,0.1604938271604938,1,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2021.0,0.4833333333333333,mortality,0,,0.4833333333333333,
BART_018,0.2857142857142857,2021.0,0.0139751552795031,0.0,0.0,0.1428571428571428,0,0,,,,0,1,2006.0,0.5,0.0,1.0,0.0,0,2021.0,0.2857142857142857,mortality,0,,0.2857142857142857,
BART_019,0.4305555555555555,2021.0,0.0,0.0,0.0,0.1111111111111111,1,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2021.0,0.4305555555555555,mortality,0,,0.4305555555555555,
