plotID,modis_gpp
ABBY_001,1.3838375
ABBY_002,1.3362875
ABBY_003,1.4401000000000002
ABBY_004,1.41825
ABBY_005,1.5139125
ABBY_006,1.3958625
ABBY_007,1.383925
ABBY_008,1.3905625
ABBY_009,1.4229375000000002
ABBY_010,1.4633
ABBY_011,1.4898875
ABBY_012,1.5162250000000002
ABBY_013,1.4279625
ABBY_014,1.37085
ABBY_015,1.2886875
ABBY_016,1.4043125
ABBY_017,1.4028125
ABBY_018,1.487325
ABBY_019,1.4032875
ABBY_023,1.5029
ABBY_025,1.3930375000000002
ABBY_061,1.4111375000000002
ABBY_062,1.4322125
ABBY_063,1.493275
ABBY_064,1.4322125
ABBY_065,1.493275
ABBY_066,1.4322125
ABBY_067,1.493275
ABBY_068,1.493275
ABBY_069,1.475
ABBY_070,1.493275
ABBY_073,1.4925875000000002
ABBY_074,1.475
ABBY_075,1.475
ABBY_076,1.4322125
ABBY_077,1.5061375
BART_001,1.510925
BART_002,1.529675
BART_003,1.2648875000000002
BART_004,1.5219375000000002
BART_005,1.304225
BART_006,1.270375
BART_007,1.550025
BART_010,1.27375
BART_011,1.2979875
BART_012,1.38435
BART_013,1.5658500000000002
BART_015,1.5033625000000002
BART_016,1.26895
BART_018,1.307375
BART_019,1.270425
BART_023,1.27375
BART_024,1.2193625
BART_025,1.270375
BART_026,1.270375
BART_027,1.2823625
BART_028,1.2974875
BART_032,1.270425
BART_033,1.3018625
BART_034,1.3018625
BART_036,1.307375
BART_037,1.307375
BART_039,1.3018625
BART_040,1.5645625
BART_041,1.3018625
BART_042,1.578575
BART_044,1.307375
BART_046,1.578575
BART_047,1.3018625
BART_050,1.578575
BART_051,1.3018625
BART_070,1.28265
BART_071,1.2649875000000002
BART_072,1.578575
BART_073,1.3018625
BART_074,1.307375
BART_075,1.578575
BLAN_001,1.5892125
BLAN_003,1.5392
BLAN_004,1.4906875
BLAN_005,1.58255
BLAN_006,1.5932125
BLAN_007,1.58255
BLAN_008,1.5932125
BLAN_009,1.5892125
BLAN_010,1.4906875
BLAN_011,1.6125625
BLAN_012,1.5932125
BLAN_013,1.591625
BLAN_014,1.5711875000000002
BLAN_015,1.6074125
BLAN_016,1.4906875
BLAN_017,1.6125625
BLAN_018,1.5932125
BLAN_019,1.4906875
BLAN_020,1.428925
BLAN_031,1.3670375
BLAN_032,1.3670375
BLAN_033,1.3670375
BLAN_034,1.3670375
BLAN_035,1.1813250000000002
BLAN_036,1.3670375
BLAN_037,1.3670375
BLAN_038,1.1154000000000002
BLAN_039,1.1154000000000002
BLAN_040,1.3670375
BLAN_041,1.3670375
BLAN_042,1.3670375
BLAN_043,1.1154000000000002
BLAN_044,1.3670375
BLAN_045,1.3670375
BLAN_046,1.1813250000000002
BLAN_047,1.3670375
BLAN_048,1.3670375
BLAN_049,1.3670375
BLAN_050,1.3670375
BLAN_051,1.1154000000000002
BLAN_052,1.3670375
BLAN_053,1.253025
BLAN_054,1.1813250000000002
BLAN_055,1.3670375
BLAN_056,1.3670375
BLAN_057,1.1813250000000002
BLAN_059,1.1813250000000002
BLAN_060,1.1154000000000002
BLAN_063,1.253025
BLAN_064,1.3670375
BLAN_068,1.4906875
GRSM_001,1.5423250000000002
GRSM_002,1.5487625
GRSM_003,1.34755
GRSM_004,1.594325
GRSM_005,1.404575
GRSM_006,1.5333875
GRSM_007,1.4698250000000002
GRSM_008,1.349075
GRSM_009,1.3848875
GRSM_010,1.5519375000000002
GRSM_011,1.5122875
GRSM_012,1.3799125
GRSM_013,1.49795
GRSM_014,1.5093625000000002
GRSM_015,1.4950625
GRSM_016,1.219225
GRSM_017,1.4849125
GRSM_018,1.5603375000000002
GRSM_019,1.483875
GRSM_025,1.2383875
GRSM_047,1.5001125000000002
GRSM_048,1.5004625
GRSM_049,1.4524
GRSM_050,1.4118625
GRSM_051,1.5001125000000002
GRSM_052,1.4486
GRSM_053,1.4265625000000002
GRSM_054,1.4486
GRSM_055,1.4265625000000002
GRSM_056,1.5001125000000002
GRSM_057,1.5004625
GRSM_058,1.4909875
GRSM_059,1.5001125000000002
GRSM_060,1.5001125000000002
GRSM_061,1.5001125000000002
GRSM_062,1.4486
GRSM_063,1.4265625000000002
GRSM_064,1.5004625
GRSM_065,1.4909875
GRSM_066,1.5004625
HARV_001,1.6228875
HARV_002,1.3186875
HARV_004,1.34985
HARV_005,1.1345125
HARV_006,1.1074
HARV_008,1.3309125000000002
HARV_010,1.6228875
HARV_011,1.6108375
HARV_012,1.3544125
HARV_013,1.2457375000000002
HARV_014,1.5962
HARV_015,1.3083125
HARV_016,1.3268125
HARV_017,1.2956125
HARV_020,1.6288125
HARV_021,1.276
HARV_022,1.3319125
HARV_023,1.271225
HARV_024,1.312175
HARV_025,1.2000125
HARV_026,1.2843
HARV_027,1.3363
HARV_033,1.3313
HARV_034,1.3481
HARV_035,1.3535
HARV_036,1.3225875
HARV_037,1.3481
HARV_038,1.3481
HARV_039,1.6033625
HARV_040,1.3535
HARV_041,1.3481
HARV_042,1.3481
HARV_043,1.3535
HARV_044,1.3481
HARV_045,1.3225875
HARV_046,1.3481
HARV_047,1.3313
HARV_048,1.3535
HARV_049,1.3481
HARV_050,1.3481
HARV_051,1.3623875
HARV_052,1.3535
JERC_001,1.5249375
JERC_002,1.630125
JERC_003,1.633
JERC_004,1.4364875
JERC_005,1.4465
JERC_006,1.44555
JERC_007,1.6971500000000002
JERC_008,1.4465
JERC_009,1.6265125
JERC_010,1.6118625000000002
JERC_011,1.711225
JERC_012,1.2320875
JERC_013,1.6139375
JERC_014,1.4090875
JERC_015,1.4569875
JERC_016,1.2851875
JERC_019,1.711225
JERC_021,1.6139375
JERC_022,1.596625
JERC_028,1.631325
JERC_029,1.5926375000000002
JERC_030,1.7703125000000002
JERC_031,1.6095875000000002
JERC_033,1.4569875
JERC_034,1.6970125
JERC_035,1.5345375
JERC_036,1.711225
JERC_038,1.6174750000000002
JERC_040,1.5748125000000002
JERC_041,1.7471375
JERC_042,1.6118625000000002
JERC_044,1.5249375
JERC_047,1.637
JERC_048,1.630125
JERC_049,1.630125
JERC_050,1.6455
JERC_051,1.637
JERC_052,1.630125
JERC_053,1.630125
JERC_054,1.7067750000000002
JERC_055,1.6455
JERC_056,1.6455
JERC_057,1.637
JERC_058,1.630125
JERC_059,1.5533
JERC_060,1.637
JERC_061,1.630125
JERC_062,1.6455
JERC_063,1.630125
JERC_064,1.637
JERC_065,1.637
JERC_066,1.630125
MLBS_001,1.5343250000000002
MLBS_002,1.5665625
MLBS_003,1.5097
MLBS_004,1.53855
MLBS_005,1.4576
MLBS_006,1.6796375
MLBS_007,1.6518000000000002
MLBS_008,1.55725
MLBS_009,1.55625
MLBS_010,1.4576
MLBS_011,1.5343250000000002
MLBS_012,1.614
MLBS_013,1.673175
MLBS_014,1.6543
MLBS_015,1.666525
MLBS_016,1.594325
MLBS_017,1.5139
MLBS_018,1.5628000000000002
MLBS_019,1.6390375
MLBS_020,1.6636625
