plotID,siteID,n_good_plots,lcbd_bray_cov,lcbd_turnover_cov,lcbd_nestedness_cov
ABBY_002,ABBY,28,0.6692704772131094,0.18518518518518517,0.22151675485008812
ABBY_003,ABBY,28,0.36703762082474867,0.0,0.15432098765432098
ABBY_004,ABBY,28,0.3831026387998045,0.0,0.15432098765432098
ABBY_006,ABBY,28,0.3195761047953573,0.0,0.15432098765432098
ABBY_007,ABBY,28,0.599798900351491,0.1111111111111111,0.23315696649029982
ABBY_008,ABBY,28,0.4672215747316301,0.0,0.15432098765432098
ABBY_009,ABBY,28,0.2986934906461988,0.0,0.15432098765432098
ABBY_010,ABBY,28,0.35041003433325896,0.12962962962962962,0.23315696649029982
ABBY_013,ABBY,28,0.4426482296145465,0.0,0.15432098765432098
ABBY_016,ABBY,28,0.3098032933241452,0.1111111111111111,0.2331569664902998
ABBY_017,ABBY,28,0.32587680982589223,0.1111111111111111,0.2331569664902998
ABBY_019,ABBY,28,0.2988899635282544,0.0,0.15432098765432098
ABBY_023,ABBY,28,0.5804843727542637,0.07407407407407407,0.5401234567901234
ABBY_025,ABBY,28,0.6992239947046807,0.12962962962962962,0.23315696649029982
ABBY_061,ABBY,28,0.43441839257106146,0.0,0.15432098765432098
ABBY_062,ABBY,28,0.4197765191227783,0.0,0.15432098765432098
ABBY_063,ABBY,28,0.3027868699876979,0.0,0.15432098765432098
ABBY_064,ABBY,28,0.3028738067792961,0.0,0.15432098765432098
ABBY_065,ABBY,28,0.29571047749673585,0.0,0.15432098765432098
ABBY_067,ABBY,28,0.4547341238826431,0.0,0.15432098765432098
ABBY_068,ABBY,28,0.3301135545828481,0.16666666666666666,0.22151675485008815
ABBY_069,ABBY,28,0.3385422891362192,0.16666666666666666,0.22151675485008815
ABBY_070,ABBY,28,0.38506760032900694,0.0,0.15432098765432098
ABBY_073,ABBY,28,0.4164078746676924,0.18518518518518517,0.22151675485008815
ABBY_074,ABBY,28,0.3890596781644312,0.0,0.15432098765432098
ABBY_075,ABBY,28,0.30026647677839835,0.0,0.15432098765432098
ABBY_076,ABBY,28,0.3062030649607718,0.0,0.15432098765432098
ABBY_077,ABBY,28,0.32565743221593546,0.07407407407407407,0.37592592592592594
BART_002,BART,38,0.8076521389488048,0.29729729729729737,0.23515163515163512
BART_003,BART,38,0.7975583477470749,0.5643929643929645,0.09877766688912201
BART_004,BART,38,0.5395761718485048,0.26441441441441443,0.12656367656367654
BART_005,BART,38,0.6791308984751018,0.2567567567567568,0.23547728547728547
BART_007,BART,38,0.6031484377439608,0.19369369369369369,0.18148968148968145
