plotID,insitu_mortdmg_max,insitu_peak_year,insitu_spike,insitu_burn,insitu_insect,insitu_dead_max,insitu_dist
ABBY_001,0.24528301886792453,2024,0.12028301886792453,0.0,0.0,0.1320754716981132,0
ABBY_002,0.7166666666666667,2019,0.5738095238095238,0.0,0.0,0.046875,1
ABBY_003,0.2727272727272727,2019,0.14229249011857706,0.0,0.0,0.11570247933884298,0
ABBY_004,0.14285714285714285,2017,0.1279317697228145,0.0,0.0,0.07142857142857142,0
ABBY_005,0.33663366336633666,2019,0.21418468377449992,0.0,0.0,0.22772277227722773,0
ABBY_006,0.2159090909090909,2019,0.05681818181818182,0.0,0.0,0.1590909090909091,0
ABBY_007,0.8095238095238095,2017,0.7772657450076805,0.0,0.0,0.42857142857142855,1
ABBY_008,0.08661417322834646,2017,0.015185601799775031,0.0,0.0,0.07874015748031496,0
ABBY_009,0.048611111111111105,2024,0.048611111111111105,0.0,0.0,0.020833333333333332,0
ABBY_010,0.25,2024,0.04999999999999999,0.0,0.0,0.2,0
ABBY_011,0.6285714285714286,2017,0.5968253968253968,0.0,0.0,0.1358695652173913,1
ABBY_012,0.26666666666666666,2017,0.25296803652968036,0.0,0.0,0.1,1
ABBY_013,0.27586206896551724,2019,0.25768025078369905,0.0,0.0,0.12359550561797752,1
ABBY_014,0.208955223880597,2024,0.027137042062415184,0.0,0.029850746268656716,0.16363636363636364,0
ABBY_016,0.2903225806451613,2024,0.20598523124757095,0.0,0.0,0.2,0
ABBY_017,0.4594594594594595,2019,0.4367321867321868,0.0,0.0,0.171875,1
ABBY_018,0.25,2017,0.023584905660377353,0.0,0.0,0.11320754716981132,0
ABBY_019,0.16071428571428573,2019,0.14071428571428574,0.0,0.0,0.02,0
ABBY_023,0.3006134969325153,2019,0.20789826514443585,0.0,0.06748466257668712,0.17791411042944785,0
ABBY_025,0.2967032967032967,2024,0.13123567080401613,0.0,0.0,0.15384615384615385,0
ABBY_061,0.416058394160584,2018,0.3874869655891554,0.0,0.05223880597014925,0.0684931506849315,1
ABBY_062,0.21568627450980393,2024,0.21568627450980393,0.0,0.013071895424836602,0.15527950310559005,0
ABBY_063,0.3671875,2017,0.32653709349593496,0.0,0.015503875968992248,0.07575757575757576,1
ABBY_064,0.14832535885167464,2019,0.12332535885167464,0.0,0.0,0.08108108108108109,0
ABBY_065,0.2,2015,0.18795180722891566,0.0,0.0,0.2,0
ABBY_066,0.1095890410958904,2015,0.0,0.0,0.0,0.1095890410958904,0
ABBY_067,0.1891891891891892,2017,0.1891891891891892,0.0,0.0,0.025974025974025976,0
ABBY_068,0.10416666666666667,2017,0.07852564102564102,0.0,0.0,0.05825242718446602,0
ABBY_069,0.24242424242424243,2018,0.22968538892105772,0.0,0.008333333333333333,0.0425531914893617,0
ABBY_070,0.3252032520325203,2018,0.3252032520325203,0.0,0.027777777777777776,0.07017543859649122,1
ABBY_073,0.3090909090909091,2017,0.19258605472197704,0.012987012987012988,0.0,0.11702127659574468,1
ABBY_074,0.20454545454545456,2018,0.18304007820136853,0.0,0.0,0.022727272727272728,0
ABBY_075,0.33333333333333337,2018,0.27083333333333337,0.0,0.0,0.0625,1
ABBY_076,0.13636363636363635,2017,0.10265577119509703,0.0,0.0,0.03389830508474576,0
ABBY_077,0.1320754716981132,2024,0.0,0.0,0.0,0.03773584905660377,0
BART_001,0.32857142857142857,2021,0.09884169884169883,0.0,0.0,0.17142857142857143,0
BART_002,0.7409638554216867,2016,0.030437539632213073,0.0,0.07894736842105263,0.0963855421686747,1
BART_003,0.5348837209302326,2016,0.16821705426356592,0.0,0.05,0.32558139534883723,1
BART_004,0.5686274509803921,2021,0.0219607843137255,0.0,0.0,0.09803921568627451,1
BART_005,0.28712871287128716,2021,0.11281678626578256,0.0,0.0,0.11009174311926606,0
BART_006,0.89,2016,0.02829787234042558,0.0,0.0,0.11,1
BART_007,0.21666666666666665,2016,0.03245614035087718,0.0,0.0,0.05263157894736842,0
BART_010,0.6193548387096774,2016,0.024313516395627843,0.0,0.008264462809917356,0.23870967741935484,1
BART_011,0.3026315789473684,2021,0.05571799870045485,0.0,0.0,0.05263157894736842,0
BART_012,0.9285714285714286,2016,0.0043290043290042934,0.0,0.0,0.09090909090909091,1
BART_013,0.6344086021505376,2021,0.09274193548387089,0.0,0.0,0.125,1
BART_015,0.5681818181818181,2016,0.005681818181818121,0.0,0.0,0.11363636363636363,1
BART_016,0.48333333333333334,2021,0.06358024691358027,0.0,0.0,0.16049382716049382,1
BART_018,0.2857142857142857,2021,0.013975155279503104,0.0,0.0,0.14285714285714285,0
BART_019,0.4305555555555555,2021,0.0,0.0,0.0,0.1111111111111111,1
BART_023,0.3366336633663366,2016,0.020177967163804933,0.0,0.0,0.09900990099009901,0
BART_024,0.2982456140350877,2021,0.06095747844186736,0.0,0.0,0.13559322033898305,0
BART_025,0.4605263157894737,2021,0.11437246963562753,0.0,0.0,0.19736842105263158,1
BART_026,0.24210526315789474,2021,0.017615467239527394,0.0,0.0,0.030612244897959183,0
BART_027,0.23529411764705882,2021,0.06288032454361053,0.0,0.0,0.08620689655172414,0
BART_028,0.4067796610169492,2016,0.0,0.0,0.0,0.2033898305084746,1
BART_032,0.825,2019,0.5146551724137931,0.0,0.0,0.16129032258064516,1
BART_033,0.8659793814432989,2024,0.1030927835051546,0.0,0.0,0.09782608695652174,1
BART_034,0.6462585034013606,2019,0.37432867883995713,0.0,0.0,0.0759493670886076,1
BART_036,0.8251748251748252,2020,0.4119516846789575,0.0,0.007575757575757576,0.10606060606060606,1
BART_037,0.8263473053892216,2018,0.06858333023394214,0.0,0.006289308176100629,0.07547169811320754,1
BART_039,0.5843373493975903,2024,0.2537588370008961,0.0,0.006369426751592357,0.10240963855421686,1
BART_040,0.574712643678161,2025,0.3115547489413189,0.0,0.05063291139240506,0.11688311688311688,1
BART_041,0.75,2017,0.36682242990654207,0.0,0.03488372093023256,0.1323529411764706,1
BART_042,0.5775862068965517,2021,0.46849529780564264,0.0,0.023809523809523808,0.15702479338842976,1
BART_044,0.6129032258064516,2017,0.10544053923928742,0.0,0.006756756756756757,0.14193548387096774,1
BART_046,0.7880184331797235,2018,0.5940790392403296,0.0,0.0,0.07657657657657657,1
BART_047,0.7488584474885844,2019,0.3291693283176,0.0,0.0182648401826484,0.09174311926605505,1
BART_050,0.3179190751445087,2018,0.2562752395280703,0.0,0.0058823529411764705,0.10982658959537572,1
BART_051,0.3307086614173228,2016,0.09922717993584135,0.0,0.006756756756756757,0.07086614173228346,0
BART_070,0.4502923976608187,2019,0.09081527347781215,0.0,0.005847953216374269,0.11764705882352941,1
BART_071,0.7798742138364779,2025,0.5756488617238018,0.0,0.006289308176100629,0.08450704225352113,1
BART_072,0.5909090909090908,2018,0.12102957283680166,0.0,0.0,0.07608695652173914,1
BART_073,0.7166666666666666,2025,0.38974358974358964,0.0,0.008695652173913044,0.11764705882352941,1
BART_074,0.775,2016,0.31021126760563383,0.0,0.0,0.07317073170731707,1
BART_075,0.5091743119266054,2019,0.25917431192660545,0.0,0.009174311926605505,0.12162162162162163,1
BLAN_001,0.15942028985507248,2019,0.08047292143401985,0.0,0.0,0.07894736842105263,0
BLAN_005,0.2413793103448276,2019,0.07887931034482759,0.0,0.017241379310344827,0.12280701754385964,0
BLAN_007,0.26666666666666666,2024,0.1393939393939394,0.0,0.0547945205479452,0.06666666666666667,0
BLAN_009,0.12307692307692308,2019,0.049002849002849014,0.0,0.0,0.12,0
BLAN_011,0.14285714285714285,2019,0.042857142857142844,0.0,0.012987012987012988,0.047619047619047616,0
BLAN_012,0.05970149253731343,2015,0.01714830104795173,0.0,0.0,0.047619047619047616,0
BLAN_013,0.3125,2024,0.25916666666666666,0.0,0.0,0.0625,1
BLAN_015,0.1206896551724138,2019,0.045217957059206254,0.0,0.0,0.10526315789473684,0
BLAN_017,0.2571428571428571,2023,0.1781954887218045,0.0,0.06666666666666667,0.047619047619047616,0
BLAN_018,0.32432432432432434,2019,0.24740124740124741,0.0,0.0,0.1891891891891892,0
BLAN_032,0.2358974358974359,2021,0.2358974358974359,0.0,0.022727272727272728,0.10483870967741936,0
BLAN_035,0.48684210526315785,2024,0.20112781954887216,0.0,0.013888888888888888,0.47368421052631576,1
BLAN_036,0.39344262295081966,2025,0.3008500303582271,0.0,0.0,0.3442622950819672,1
BLAN_041,0.0,2015,0.0,0.0,0.0,0.0,0
BLAN_044,0.43103448275862066,2025,0.43103448275862066,0.0,0.017241379310344827,0.41379310344827586,1
BLAN_047,0.3571428571428571,2020,0.3145896656534954,0.0,0.02127659574468085,0.2831858407079646,1
BLAN_048,0.44680851063829785,2018,0.25236406619385343,0.0,0.0,0.30357142857142855,1
BLAN_050,0.3924050632911392,2018,0.21740506329113923,0.0,0.0,0.325,0
BLAN_052,0.39199999999999996,2017,0.2468387096774193,0.0,0.0,0.352,0
BLAN_053,0.2911392405063291,2021,0.26037000973709834,0.0,0.0,0.12658227848101267,1
