plotID,hansen_loss,hansen_lossyear,hansen_loss_frac,treecover2000
SERC_057,0,0,0.0,97.8
SERC_056,0,0,0.0,100.0
SERC_007,0,0,0.0,0.0
SERC_018,0,0,0.0,6.2
SERC_009,0,0,0.0,100.0
SERC_008,0,0,0.0,0.0
SERC_011,0,0,0.0,98.2
SERC_003,1,2012,0.75,96.0
SERC_006,0,0,0.0,95.8
SERC_001,0,0,0.0,97.5
SERC_017,0,0,0.0,100.0
SERC_019,0,0,0.0,100.0
SERC_010,0,0,0.0,100.0
SERC_014,0,0,0.0,95.8
SERC_012,0,0,0.0,100.0
SERC_016,0,0,0.0,100.0
SERC_022,0,0,0.0,100.0
SERC_004,0,0,0.0,96.0
SERC_021,0,0,0.0,98.2
SERC_013,0,0,0.0,100.0
SERC_005,0,0,0.0,98.8
SERC_002,0,0,0.0,100.0
SERC_067,0,0,0.0,100.0
SERC_073,0,0,0.0,100.0
GRSM_057,0,0,0.0,100.0
GRSM_048,0,0,0.0,100.0
GRSM_059,1,2017,0.25,100.0
GRSM_054,0,0,0.0,100.0
GRSM_049,1,2017,0.5,100.0
GRSM_066,0,0,0.0,100.0
GRSM_065,0,0,0.0,100.0
GRSM_047,1,2017,1.0,99.0
GRSM_063,0,0,0.0,100.0
GRSM_053,0,0,0.0,99.0
GRSM_062,1,2017,1.0,97.8
GRSM_060,0,0,0.0,100.0
GRSM_050,0,0,0.0,100.0
GRSM_051,1,2017,1.0,100.0
GRSM_064,0,0,0.0,100.0
GRSM_002,0,0,0.0,100.0
GRSM_025,0,0,0.0,85.2
GRSM_016,0,0,0.0,88.5
GRSM_017,0,0,0.0,100.0
GRSM_004,0,0,0.0,100.0
GRSM_001,0,0,0.0,100.0
GRSM_012,0,0,0.0,100.0
GRSM_008,0,0,0.0,99.5
GRSM_003,0,0,0.0,100.0
GRSM_019,0,0,0.0,100.0
GRSM_006,0,0,0.0,100.0
GRSM_013,0,0,0.0,100.0
GRSM_015,0,0,0.0,100.0
GRSM_014,0,0,0.0,100.0
GRSM_010,0,0,0.0,100.0
GRSM_005,0,0,0.0,100.0
GRSM_011,0,0,0.0,100.0
GRSM_007,1,2017,0.5,100.0
GRSM_009,0,0,0.0,100.0
GRSM_055,0,0,0.0,100.0
GRSM_018,0,0,0.0,100.0
GRSM_061,0,0,0.0,100.0
GRSM_056,1,2017,0.25,100.0
GRSM_058,0,0,0.0,100.0
GRSM_052,1,2017,0.5,100.0
JERC_002,0,0,0.0,88.0
JERC_015,0,0,0.0,77.0
JERC_007,0,0,0.0,61.2
JERC_001,0,0,0.0,70.8
JERC_010,0,0,0.0,84.2
JERC_009,0,0,0.0,85.5
JERC_029,0,0,0.0,63.5
JERC_021,0,0,0.0,81.5
JERC_011,0,0,0.0,67.8
JERC_040,0,0,0.0,61.5
JERC_035,0,0,0.0,31.5
JERC_033,0,0,0.0,84.0
JERC_019,0,0,0.0,93.5
JERC_030,0,0,0.0,78.0
JERC_034,0,0,0.0,82.5
JERC_036,0,0,0.0,21.0
JERC_028,0,0,0.0,98.8
JERC_044,0,0,0.0,39.5
JERC_016,0,0,0.0,100.0
JERC_038,0,0,0.0,99.5
JERC_006,0,0,0.0,62.2
JERC_041,0,0,0.0,100.0
JERC_031,0,0,0.0,63.5
JERC_042,0,0,0.0,85.0
JERC_008,0,0,0.0,84.2
JERC_005,0,0,0.0,80.2
JERC_003,0,0,0.0,78.2
JERC_022,0,0,0.0,69.8
JERC_013,0,0,0.0,78.0
JERC_066,0,0,0.0,77.5
JERC_065,0,0,0.0,78.5
JERC_054,0,0,0.0,97.0
JERC_051,0,0,0.0,80.0
JERC_062,0,0,0.0,88.0
JERC_047,0,0,0.0,68.2
JERC_057,0,0,0.0,71.8
JERC_060,0,0,0.0,81.5
JERC_064,0,0,0.0,72.0
JERC_050,0,0,0.0,91.8
JERC_053,0,0,0.0,82.2
JERC_049,0,0,0.0,76.0
JERC_061,0,0,0.0,53.8
JERC_058,0,0,0.0,80.8
JERC_048,0,0,0.0,78.8
JERC_063,0,0,0.0,59.5
JERC_052,0,0,0.0,63.8
JERC_059,0,0,0.0,88.5
JERC_056,0,0,0.0,50.0
JERC_055,0,0,0.0,58.5
JERC_004,0,0,0.0,13.8
JERC_014,0,0,0.0,0.0
JERC_012,0,0,0.0,0.0
MLBS_076,0,0,0.0,86.2
MLBS_061,0,0,0.0,92.0
MLBS_064,0,0,0.0,93.2
MLBS_075,0,0,0.0,96.0
MLBS_065,0,0,0.0,92.5
MLBS_062,0,0,0.0,97.5
MLBS_069,0,0,0.0,93.2
MLBS_063,0,0,0.0,93.5
MLBS_073,0,0,0.0,91.0
MLBS_074,0,0,0.0,91.0
MLBS_066,0,0,0.0,93.0
MLBS_067,0,0,0.0,91.8
MLBS_071,0,0,0.0,84.8
MLBS_072,0,0,0.0,95.0
MLBS_070,0,0,0.0,92.0
MLBS_068,0,0,0.0,96.0
MLBS_009,0,0,0.0,94.8
