plotID,year,pml
ABBY_063,2000,640.6842105263158
ABBY_068,2000,640.6842105263158
ABBY_065,2000,637.1052631578947
ABBY_067,2000,640.6842105263158
ABBY_066,2000,640.6842105263158
ABBY_061,2000,640.6842105263158
ABBY_070,2000,640.6842105263158
ABBY_062,2000,640.2368421052631
ABBY_064,2000,640.6842105263158
ABBY_069,2000,640.2368421052631
ABBY_075,2000,626.1842105263158
ABBY_074,2000,640.2368421052631
ABBY_073,2000,640.2368421052631
ABBY_076,2000,640.6842105263158
ABBY_004,2000,665.4736842105264
ABBY_009,2000,665.4736842105264
ABBY_011,2000,646.1578947368421
ABBY_013,2000,622.3684210526316
ABBY_023,2000,570.078947368421
ABBY_010,2000,613.578947368421
ABBY_018,2000,656.1578947368421
ABBY_003,2000,523.4473684210526
ABBY_012,2000,653.2894736842105
ABBY_005,2000,649.0526315789474
ABBY_016,2000,593.3421052631579
ABBY_008,2000,637.4736842105264
ABBY_017,2000,685.1578947368421
ABBY_014,2000,657.3157894736842
ABBY_001,2000,590.1578947368421
ABBY_019,2000,623.7368421052631
ABBY_006,2000,580.6578947368421
ABBY_002,2000,501.60526315789474
ABBY_007,2000,669.6842105263158
ABBY_025,2000,580.5
ABBY_015,2000,604.3947368421053
ABBY_077,2000,666.2105263157895
BART_012,2000,451.36842105263156
BART_001,2000,451.05263157894734
BART_005,2000,510.7105263157895
BART_044,2000,493.2894736842105
BART_037,2000,493.2894736842105
BART_073,2000,476.6578947368421
BART_074,2000,493.2894736842105
BART_075,2000,478.5263157894737
BART_042,2000,478.5263157894737
BART_072,2000,478.5263157894737
BART_046,2000,493.2894736842105
BART_036,2000,478.5263157894737
BART_051,2000,476.6578947368421
BART_041,2000,481.8421052631579
BART_034,2000,481.8421052631579
BART_039,2000,476.6578947368421
BART_050,2000,478.5263157894737
BART_040,2000,476.57894736842104
BART_071,2000,479.8421052631579
BART_070,2000,481.8421052631579
BART_033,2000,481.8421052631579
BART_047,2000,476.57894736842104
BART_032,2000,480.0263157894737
BART_015,2000,482.8157894736842
BART_016,2000,504.6578947368421
BART_028,2000,472.8421052631579
BART_010,2000,494.94736842105266
BART_013,2000,470.6842105263158
BART_026,2000,440.8157894736842
BART_006,2000,472.94736842105266
BART_023,2000,494.94736842105266
BART_002,2000,459.05263157894734
BART_018,2000,498.44736842105266
BART_003,2000,491.7894736842105
BART_024,2000,494.94736842105266
BART_011,2000,465.8157894736842
BART_025,2000,440.8157894736842
BART_007,2000,465.8157894736842
BART_027,2000,493.94736842105266
BART_004,2000,462.2894736842105
BART_019,2000,480.0263157894737
BLAN_042,2000,483.57894736842104
BLAN_056,2000,483.57894736842104
BLAN_034,2000,502.2631578947368
BLAN_043,2000,483.57894736842104
BLAN_046,2000,448.7368421052632
BLAN_045,2000,483.57894736842104
BLAN_059,2000,448.7368421052632
BLAN_039,2000,483.57894736842104
BLAN_033,2000,483.57894736842104
BLAN_051,2000,483.57894736842104
BLAN_054,2000,483.57894736842104
BLAN_031,2000,502.2631578947368
BLAN_049,2000,502.2631578947368
BLAN_060,2000,483.57894736842104
BLAN_035,2000,448.7368421052632
BLAN_038,2000,483.57894736842104
BLAN_040,2000,483.57894736842104
BLAN_037,2000,502.2631578947368
BLAN_044,2000,502.2631578947368
BLAN_050,2000,740.8157894736842
BLAN_052,2000,502.2631578947368
BLAN_048,2000,740.8157894736842
BLAN_055,2000,502.2631578947368
BLAN_057,2000,448.7368421052632
BLAN_032,2000,448.7368421052632
BLAN_036,2000,740.8157894736842
BLAN_047,2000,740.8157894736842
BLAN_063,2000,740.8157894736842
BLAN_005,2000,568.8947368421053
BLAN_017,2000,568.8947368421053
BLAN_011,2000,579.9473684210526
BLAN_068,2000,573.4473684210526
BLAN_016,2000,573.4473684210526
BLAN_001,2000,558.3947368421053
BLAN_008,2000,567.7631578947369
BLAN_003,2000,574.3421052631579
BLAN_018,2000,543.7105263157895
BLAN_004,2000,573.4473684210526
BLAN_014,2000,565.578947368421
BLAN_020,2000,617.8157894736842
BLAN_006,2000,543.7105263157895
BLAN_007,2000,567.7631578947369
BLAN_010,2000,573.4473684210526
BLAN_012,2000,543.7105263157895
BLAN_013,2000,572.578947368421
BLAN_015,2000,538.7894736842105
