plotID,year,n,frac_dead,frac_dmg,frac_burn,frac_insect,frac_dis,frac_mort_dmg
ABBY_001,2017,48,0.041666666666666664,0.08333333333333333,0.0,0.0,0.0,0.125
ABBY_001,2019,50,0.06,0.08,0.0,0.0,0.0,0.14
ABBY_001,2024,53,0.1320754716981132,0.11320754716981132,0.0,0.0,0.0,0.24528301886792453
ABBY_002,2017,14,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285
ABBY_002,2019,60,0.016666666666666666,0.7,0.0,0.0,0.0,0.7166666666666667
ABBY_002,2024,64,0.046875,0.171875,0.0,0.0,0.0,0.21875
ABBY_003,2017,95,0.05263157894736842,0.15789473684210525,0.0,0.0,0.0,0.21052631578947367
ABBY_003,2019,121,0.11570247933884298,0.15702479338842976,0.0,0.0,0.01652892561983471,0.2727272727272727
ABBY_003,2024,46,0.08695652173913043,0.043478260869565216,0.0,0.0,0.0,0.13043478260869565
ABBY_004,2017,42,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.14285714285714285
ABBY_004,2019,134,0.03731343283582089,0.08955223880597014,0.0,0.0,0.0,0.12686567164179102
ABBY_004,2024,67,0.0,0.014925373134328358,0.0,0.0,0.0,0.014925373134328358
ABBY_005,2017,98,0.11224489795918367,0.01020408163265306,0.0,0.0,0.0,0.12244897959183673
ABBY_005,2019,303,0.22772277227722773,0.10891089108910891,0.0,0.0,0.0033003300330033004,0.33663366336633666
ABBY_006,2017,90,0.15555555555555556,0.03333333333333333,0.0,0.0,0.011111111111111112,0.18888888888888888
ABBY_006,2019,88,0.1590909090909091,0.056818181818181816,0.0,0.0,0.011363636363636364,0.2159090909090909
ABBY_006,2024,88,0.13636363636363635,0.022727272727272728,0.0,0.0,0.0,0.1590909090909091
ABBY_007,2016,62,0.03225806451612903,0.0,0.0,0.0,0.0,0.03225806451612903
ABBY_007,2017,84,0.42857142857142855,0.38095238095238093,0.0,0.0,0.0,0.8095238095238095
ABBY_007,2019,42,0.2619047619047619,0.23809523809523808,0.0,0.0,0.0,0.5
ABBY_007,2024,38,0.07894736842105263,0.02631578947368421,0.0,0.0,0.0,0.10526315789473684
ABBY_008,2017,127,0.07874015748031496,0.007874015748031496,0.0,0.0,0.0,0.08661417322834646
ABBY_008,2019,140,0.06428571428571428,0.007142857142857143,0.0,0.0,0.0,0.07142857142857142
ABBY_008,2024,66,0.045454545454545456,0.030303030303030304,0.0,0.0,0.0,0.07575757575757576
ABBY_009,2017,61,0.0,0.0,0.0,0.0,0.0,0.0
ABBY_009,2019,143,0.0,0.006993006993006993,0.0,0.0,0.0,0.006993006993006993
ABBY_009,2024,144,0.020833333333333332,0.027777777777777776,0.0,0.0,0.0,0.048611111111111105
ABBY_010,2017,60,0.2,0.0,0.0,0.0,0.0,0.2
ABBY_010,2019,59,0.15254237288135594,0.06779661016949153,0.0,0.0,0.0,0.22033898305084748
ABBY_010,2024,60,0.15,0.1,0.0,0.0,0.0,0.25
ABBY_011,2017,70,0.12857142857142856,0.5,0.0,0.0,0.0,0.6285714285714286
ABBY_011,2019,184,0.1358695652173913,0.10326086956521739,0.0,0.0,0.0,0.2391304347826087
ABBY_011,2024,63,0.0,0.031746031746031744,0.0,0.0,0.0,0.031746031746031744
ABBY_012,2017,30,0.1,0.16666666666666666,0.0,0.0,0.0,0.26666666666666666
ABBY_012,2019,73,0.0136986301369863,0.0,0.0,0.0,0.0,0.0136986301369863
