plotID,dhi_nyears,dhi_cum_mean,dhi_cum_trend,dhi_min_mean,dhi_min_trend,dhi_var_mean,dhi_var_trend
ABBY_001,10,0.6675567442279943,-0.05881920514671852,0.5017999999999999,-0.01946909090909543,0.10969847585653292,-0.010918923573601698
ABBY_002,10,0.5863520119047619,-0.0091926294765895,0.426795,0.0011021212121187021,0.16601983301366524,-0.015623757009164805
ABBY_003,10,0.7358380579004329,-0.03710992184836612,0.54477,-0.03189151515153264,0.1240432157172914,-0.006469819337618538
ABBY_004,10,0.6296768566017316,-0.010260418503219593,0.5016149999999999,-0.006922727272730293,0.11894127027313857,-0.0024159591484266066
ABBY_005,10,0.6787199116161615,-0.036951655188255106,0.49979499999999993,-0.023472424242428257,0.14559486719646908,0.0025693914546780147
ABBY_006,10,0.6964604285714285,-0.039690314836690214,0.49625499999999995,0.016558484848479067,0.13619729427035637,-0.03354767588309292
ABBY_007,9,0.44557036335578004,-0.01086646464646337,0.2430611111111111,-0.010524999999997856,0.3116816315314368,-0.003286298488154684
ABBY_008,10,0.6710730012626263,-0.04947195278544317,0.4909699999999999,-0.031770303030310254,0.15361238843895605,-0.0007894508214786565
ABBY_009,10,0.6680562803030303,-0.021442205234167514,0.5363499999999999,-0.019206060606066274,0.10181437447116681,-0.0001369745121697967
ABBY_010,10,0.7040578724747475,-0.048233306167751115,0.55131,-0.01846181818182665,0.10139718936825419,-0.018921829043283548
ABBY_011,9,0.5959363510101011,-0.025785249999998566,0.4006666666666667,-0.019133333333331552,0.1813845080584834,-0.003353451413322479
ABBY_012,9,0.5928900631313132,-0.03710597727272541,0.3505,-0.021624999999997067,0.25863885489100896,0.009769024810588117
ABBY_013,10,0.5818861060606061,-0.0024772644628144,0.406355,0.0006178787878785141,0.15451601778801471,-0.004905752205602985
ABBY_014,10,0.7224143964646464,-0.05553106014693607,0.637345,-0.04819606060606937,0.07523506270993921,-0.0012071197563508923
ABBY_015,10,0.6148129915223665,-0.006222072926238601,0.42699999999999994,0.0023018181818167988,0.16085134226932946,-0.012766104967694971
ABBY_016,10,0.7156622867965368,-0.0555828745244781,0.62463,-0.04559030303031345,0.0661561932720083,-0.0036909181545087834
ABBY_017,10,0.7329700000000001,-0.04570653198654378,0.58051,-0.026658787878796424,0.09874603143908504,-0.01086494513072454
ABBY_018,10,0.5385777164502163,0.011039549390001612,0.411185,0.006683333333331784,0.12627728715177014,-0.0008467486892327063
ABBY_019,10,0.6994068625541126,-0.047246956250832875,0.551795,-0.022674848484858207,0.11104247967452001,-0.011318513097902641
ABBY_023,10,0.721164439033189,-0.04884585410381956,0.57049,-0.03978969696970602,0.10988137238681403,0.0015315887875410788
ABBY_025,10,0.6916862550505051,-0.05810217493114213,0.5730600000000001,-0.05734909090910138,0.10618493970865736,0.008454208114714078
ABBY_061,10,0.7124432045454545,-0.037649326446292805,0.5690000000000002,-0.004374545454552582,0.09896717638707739,-0.020823727863516505
ABBY_062,10,0.7505736866883117,-0.04565491312476536,0.6473150000000001,-0.035191818181829086,0.06996568168015753,-0.005302652182691067
ABBY_063,10,0.6425774247835497,-0.03449595064280008,0.4654299999999999,-0.014482424242428826,0.17605562631341795,-0.011055904389506344
ABBY_064,10,0.7204835097402597,-0.04373136619442356,0.59952,-0.012997575757584721,0.0870494063384213,-0.01417574161688741
ABBY_065,10,0.6998742499999999,-0.036189325528017686,0.5481550000000001,-0.0030481818181850705,0.10536991697435487,-0.020462943550240507
ABBY_066,10,0.6860869632034632,-0.03215350426342266,0.5076799999999999,0.007605454545449562,0.12093676088692329,-0.02375656059795048
ABBY_067,10,0.6930930319264069,-0.05209175459138346,0.5309199999999998,-0.038686666666683994,0.13554448438247152,9.207608217162892e-05
ABBY_068,10,0.7121291185064933,-0.04477176298702417,0.5966499999999999,-0.033325454545466836,0.08781857071842629,-0.0025873674859691856
ABBY_069,10,0.716755110930736,-0.04052042643973295,0.5762349999999999,-0.004425757575765027,0.0911903020724402,-0.018429965646530915
ABBY_070,10,0.7164214967532467,-0.04140496792602526,0.5933300000000001,-0.018584242424249175,0.09158768645989147,-0.014893488385020952
ABBY_073,10,0.7358193425324677,-0.04748963449430501,0.638815,-0.04256272727273844,0.07608248899136597,-0.0010268688120469282
ABBY_074,10,0.7190702251082252,-0.04086850478815193,0.564445,-0.014522727272736038,0.09884635961743529,-0.013783172696187136
ABBY_075,10,0.7112796006493507,-0.038102969500206633,0.58749,-0.011641212121218849,0.08584850188856294,-0.015299080772243264
ABBY_076,10,0.6932092451298701,-0.04107872973239992,0.561035,-0.025124545454556318,0.10486861002167595,-0.006901545616367626
ABBY_077,10,0.6665525454545453,-0.02260384664831187,0.45067,-0.01057757575758335,0.17548407433542723,-0.0019595756406252138
BART_001,9,0.6512128493265994,-0.04882363679129321,0.5035833333333334,-0.04085661290322402,0.12802310514647688,-0.00040807839629294386
BART_002,8,0.5155804074224386,-0.058828029852088126,0.142725,-0.024594047619046735,0.5417234506092452,0.03786069775654759
BART_003,8,0.5173443930375181,-0.06415501863876436,0.15565,-0.020995238095236058,0.5329369409661083,0.03750332849611888
BART_004,9,0.6538019893378225,-0.04793853343922323,0.4383722222222222,-0.03908580645160839,0.1585896582089293,0.006263538671757351
BART_005,8,0.628765965909091,-0.06621110569984985,0.4734312500000001,-0.048851785714278874,0.12982735512146665,0.008308959895589834
BART_006,9,0.4852658585858586,-0.029631049120230138,0.1801111111111111,-0.015221451612901988,0.5440432670520904,0.008993302617360168
BART_007,8,0.6047772316919191,-0.049817514129384045,0.40511874999999997,-0.006976785714281696,0.1756330290989488,-0.01500083168854099
BART_010,8,0.4709580303030303,-0.03580568181817891,0.11914375,-0.0015767857142850873,0.6177572900896292,0.005441837347296545
BART_011,8,0.600674154040404,-0.05831199735449145,0.40719374999999997,-0.022319642857136668,0.19432691122424162,0.0012073152996307816
BART_012,8,0.5276604489087301,-0.06537319987716897,0.20783125,-0.05977202380952045,0.5283893841210501,0.050495466013448786
BART_013,8,0.5248387953192641,-0.06165566835445841,0.15458125,-0.02694940476190244,0.5146748750846167,0.03936365809471272
BART_015,9,0.5976097811447812,-0.039242786534696816,0.4048222222222222,-0.031219516129032284,0.24251986204146192,0.0038098517469584044
BART_016,8,0.6003875,-0.05380599567099011,0.3988375,-0.007645238095233356,0.19739985055248088,-0.010306223594486475
BART_018,9,0.6361228956228957,-0.042332218963824234,0.49815,-0.0327171774193505,0.15134280803647285,0.0004923794429626769
BART_019,9,0.5774541245791246,-0.04587909518572148,0.3642944444444444,-0.026401290322581945,0.23518053117408058,0.007763300194233174
BART_023,9,0.6568972783389451,-0.05122337542087457,0.44803333333333334,-0.03344083333333339,0.14491156632136035,0.002011315071170774
BART_024,8,0.6426708459595959,-0.05629614718614116,0.46759375,-0.020711309523802724,0.14186289606694302,-0.01997011016333771
BART_025,9,0.628875382996633,-0.0484072356427104,0.4230333333333333,-0.024470806451612946,0.15672071604469587,-0.00613396386049794
BART_026,9,0.6486882892416226,-0.0373670536354253,0.4535111111111111,0.0068474193548383475,0.14069780955227387,-0.0299673031944188
BART_027,9,0.6763682603815937,-0.04668845633756116,0.4692222222222222,-0.03530653225805899,0.13281440089704188,-0.0012364606765523374
BART_028,8,0.6343715277777777,-0.05895242063491503,0.43061875,-0.017892261904756682,0.14140329932639312,-0.011424802376352603
BART_032,9,0.4504413636363636,-0.023032009530786,0.1763222222222222,-0.008618629032257677,0.5350932962316794,-0.004506299183481039
BART_033,8,0.48332762626262626,-0.042218825156321436,0.1357,-0.013953571428569268,0.5520755382397537,0.010031881132261663
BART_034,9,0.6025336363636363,-0.042504881964802996,0.40437222222222224,-0.036843064516126636,0.23217054047749197,0.006663599298642396
BART_036,8,0.461254375,-0.03798568722943397,0.1674,-0.0068464285714269395,0.52372094143991,-0.0014629485776397244
BART_037,8,0.457069090909091,-0.03612540043289726,0.13146249999999998,-0.0076523809523803155,0.5728556512776264,0.0012399882512262506
