lc_shannon,lc_nclass,lc_dominant,lc_edge,lc_forest_frac,plotID
0.28208274067403555,4,0.9198554421768708,0.026909722222222224,0.9198554421768708,ABBY_063
0.2710282586743275,4,0.924390589569161,0.026271967120181407,0.924390589569161,ABBY_068
0.2714276586235101,3,0.9240362811791383,0.026041666666666668,0.9240362811791383,ABBY_065
0.27107262410147537,3,0.9241780045351474,0.025917658730158732,0.9241780045351474,ABBY_067
0.31269474828146804,4,0.9088364512471655,0.030346513605442178,0.9088364512471655,ABBY_066
0.29323446042386503,3,0.9151077097505669,0.02853954081632653,0.9151077097505669,ABBY_061
0.2801243282032423,3,0.9205286281179138,0.027405753968253968,0.9205286281179138,ABBY_070
0.3095480986798073,4,0.9102536848072562,0.030966553287981858,0.9102536848072562,ABBY_062
0.29993667520955447,4,0.9124858276643991,0.030009920634920636,0.9124858276643991,ABBY_064
0.2639452514680629,4,0.9271896258503401,0.02483701814058957,0.9271896258503401,ABBY_069
0.28572048397269134,4,0.91843820861678,0.029637896825396824,0.91843820861678,ABBY_075
0.25518041082938314,4,0.9305909863945578,0.024713010204081634,0.9305909863945578,ABBY_074
0.29625765953553573,4,0.9140447845804989,0.030311082766439908,0.9140447845804989,ABBY_073
0.319547028841877,4,0.907312925170068,0.031037414965986394,0.907312925170068,ABBY_076
0.23342200524490103,3,0.9379251700680272,0.024075255102040817,0.9379251700680272,ABBY_004
0.22574854161364577,3,0.9407242063492064,0.02278202947845805,0.9407242063492064,ABBY_009
0.03220486306660044,2,0.9948625283446711,0.002976190476190476,0.9948625283446711,ABBY_011
0.08899768152714421,4,0.9837372448979592,0.005084325396825397,0.9837372448979592,ABBY_013
0.17220409166688422,2,0.9586522108843537,0.01459750566893424,0.9586522108843537,ABBY_023
0.11617914235515349,2,0.9751984126984127,0.009318310657596371,0.9751984126984127,ABBY_010
0.10153752254559115,2,0.9790958049886621,0.0062535430839002265,0.9790958049886621,ABBY_018
0.22262144116920732,3,0.9478103741496599,0.01571357709750567,0.9478103741496599,ABBY_003
0.05383465356601194,2,0.99046910430839,0.004570578231292517,0.99046910430839,ABBY_012
0.1892839554453793,4,0.9539399092970522,0.011515022675736961,0.9539399092970522,ABBY_005
0.19995857644614104,3,0.9509637188208617,0.01791028911564626,0.9509637188208617,ABBY_016
0.19048768674767583,2,0.9526998299319728,0.01328656462585034,0.9526998299319728,ABBY_008
0.2559533317776762,2,0.9291028911564626,0.024695294784580497,0.9291028911564626,ABBY_017
0.25659100768561244,2,0.9288548752834467,0.02451814058956916,0.9288548752834467,ABBY_014
0.2752052496983418,4,0.9237882653061225,0.019717261904761904,0.9237882653061225,ABBY_001
0.24375217125187432,3,0.9354804421768708,0.023154053287981858,0.9354804421768708,ABBY_019
0.10289738350908934,2,0.9787414965986394,0.007706207482993197,0.9787414965986394,ABBY_006
0.048836635569038084,2,0.9915320294784581,0.0047831632653061226,0.9915320294784581,ABBY_002
0.34698620561998217,2,0.8897746598639455,0.031232284580498867,0.8897746598639455,ABBY_007
0.2786533130802536,3,0.925984977324263,0.02515589569160998,0.925984977324263,ABBY_025
0.3714380550751565,3,0.8792517006802721,0.02646683673469388,0.8792517006802721,ABBY_015
0.18867499412007308,2,0.9533021541950113,0.016085600907029478,0.9533021541950113,ABBY_077
-0.0,1,1.0,0.0,1.0,BART_012
0.003999281726609201,2,0.9995393990929705,0.00042517006802721087,0.9995393990929705,BART_001
0.02028458805428382,2,0.9970238095238095,0.0010274943310657595,0.9970238095238095,BART_005
0.06489434981628792,2,0.9880243764172335,0.002090419501133787,0.9880243764172335,BART_044
0.018831926905291663,2,0.9972718253968254,0.001913265306122449,0.9972718253968254,BART_037
0.2000893567791173,4,0.954046201814059,0.009034863945578231,0.954046201814059,BART_073
0.01047914287917352,2,0.9986181972789115,0.00116921768707483,0.9986181972789115,BART_074
0.11159887695572777,3,0.9771471088435374,0.003737953514739229,0.9771471088435374,BART_075
0.15850951002283598,3,0.9638251133786848,0.005314625850340136,0.9638251133786848,BART_042
0.11306888979679323,3,0.9767573696145124,0.003950538548752835,0.9767573696145124,BART_072
0.1071561174609725,3,0.9781746031746031,0.003171060090702948,0.9781746031746031,BART_046
0.11491306121808344,3,0.9761196145124716,0.0042694160997732425,0.9761196145124716,BART_036
0.15640002044079895,3,0.9644628684807256,0.005208333333333333,0.9644628684807256,BART_051
0.16277947762818112,4,0.9661281179138322,0.009548611111111112,0.9661281179138322,BART_041
0.1400529497764067,4,0.9713364512471655,0.006590136054421769,0.9713364512471655,BART_034
0.18072171797695993,3,0.9575184240362812,0.006944444444444444,0.9575184240362812,BART_039
0.14675496865360896,3,0.9673327664399093,0.00481859410430839,0.9673327664399093,BART_050
0.19296577621076783,3,0.9529478458049887,0.009300595238095238,0.9529478458049887,BART_040
0.21199444677968657,4,0.9492984693877551,0.01123157596371882,0.9492984693877551,BART_071
0.08542694669111156,4,0.9849773242630385,0.006271258503401361,0.9849773242630385,BART_070
0.03368978614227102,2,0.9945790816326531,0.0021435657596371883,0.9945790816326531,BART_033
0.1886153640881192,3,0.954329648526077,0.008680555555555556,0.954329648526077,BART_047
0.2193738925244871,4,0.9507511337868481,0.014012896825396826,0.9507511337868481,BART_032
-0.0,1,1.0,0.0,1.0,BART_015
0.004538484257718881,2,0.999468537414966,0.0005314625850340137,0.999468537414966,BART_016
0.006610565549978654,2,0.9991850907029478,0.000584608843537415,0.9991850907029478,BART_028
0.09042864232492474,2,0.9819302721088435,0.0042871315192743766,0.9819302721088435,BART_010
-0.0,1,1.0,0.0,1.0,BART_013
0.013616823081383258,3,0.9981575963718821,0.0009566326530612245,0.9981575963718821,BART_026
0.06591699694519332,3,0.9878472222222222,0.004233985260770975,0.9878472222222222,BART_006
0.004804453365237042,2,0.9994331065759637,0.00021258503401360543,0.9994331065759637,BART_023
-0.0,1,1.0,0.0,1.0,BART_002
0.07544539976382858,2,0.985579648526077,0.003755668934240363,0.985579648526077,BART_018
-0.0,1,1.0,0.0,1.0,BART_003
0.00809677678438888,2,0.9989725056689343,0.00033659297052154196,0.9989725056689343,BART_024
0.0055895654021814525,2,0.999326814058957,0.0005668934240362812,0.999326814058957,BART_011
0.03791695405350521,3,0.9937996031746031,0.0017715419501133788,0.9937996031746031,BART_025
0.006861776222641374,2,0.9991496598639455,0.0006909013605442177,0.9991496598639455,BART_007
-0.0,1,1.0,0.0,1.0,BART_027
0.00039852289693798054,2,0.9999645691609977,7.086167800453515e-05,0.9999645691609977,BART_004
0.3062967869523595,4,0.9293509070294784,0.030789399092970522,0.9293509070294784,BART_019
1.2022756763487887,5,0.36486678004535145,0.058159722222222224,0.30711451247165533,BLAN_042
1.204488584268019,5,0.3343962585034014,0.058407738095238096,0.31048044217687076,BLAN_056
1.1918821625441725,5,0.368516156462585,0.05870890022675737,0.30853174603174605,BLAN_034
1.1989379383798477,5,0.37223639455782315,0.06136621315192744,0.29088718820861675,BLAN_043
1.195446707139839,5,0.3893494897959184,0.05699050453514739,0.31526360544217685,BLAN_046
1.2034118120123234,5,0.35168650793650796,0.059010062358276646,0.30481150793650796,BLAN_045
1.1823104601624033,5,0.4178004535147392,0.05546697845804989,0.313031462585034,BLAN_059
1.1953634186383784,5,0.39027069160997735,0.057787698412698416,0.3082128684807256,BLAN_039
1.20068131298299,5,0.34371456916099774,0.06283659297052155,0.28808815192743764,BLAN_033
1.1899295671735894,5,0.3971797052154195,0.05916950113378685,0.28663548752834467,BLAN_051
1.1837337552178282,5,0.4178713151927438,0.05670705782312925,0.3035359977324263,BLAN_054
1.2038187673940781,5,0.3469033446712018,0.060710742630385485,0.3030753968253968,BLAN_031
1.2057734181014108,5,0.35487528344671204,0.06154336734693878,0.2960955215419501,BLAN_049
1.189535574048,5,0.4027777777777778,0.058514030612244895,0.2933319160997732,BLAN_060
1.198975804117481,5,0.396187641723356,0.054297760770975055,0.3167871315192744,BLAN_035
1.1986057056935917,5,0.37850765306122447,0.05927579365079365,0.30172902494331066,BLAN_038
1.20552742656462,5,0.3605796485260771,0.060870181405895694,0.2970875850340136,BLAN_040
1.1908067982501604,5,0.3802083333333333,0.06040958049886622,0.3014810090702948,BLAN_037
1.1965833790567546,5,0.3585955215419501,0.058088860544217684,0.319515306122449,BLAN_044
1.2058917073323847,5,0.33202239229024944,0.05792942176870748,0.3171768707482993,BLAN_050
1.1972087656741341,5,0.36267006802721086,0.05863803854875283,0.3123582766439909,BLAN_052
1.0960314955952382,5,0.4328231292517007,0.04616638321995465,0.37057114512471656,BLAN_048
1.098805841527092,5,0.440547052154195,0.053589143990929705,0.33411281179138325,BLAN_055
1.2078146866416566,5,0.37797619047619047,0.05286281179138322,0.32475907029478457,BLAN_057
1.2080385353743177,5,0.32982568027210885,0.056565334467120185,0.31965702947845803,BLAN_032
1.0852403678209013,5,0.447562358276644,0.04953231292517007,0.35037556689342403,BLAN_036
1.1339274897208254,5,0.41163548752834467,0.05277423469387755,0.3428642290249433,BLAN_047
1.1263259590174715,5,0.41361961451247165,0.048487103174603176,0.3638392857142857,BLAN_063
0.6736429537614507,6,0.7822774943310657,0.02662627551020408,0.7822774943310657,BLAN_005
0.8016118771365681,6,0.7513818027210885,0.02891156462585034,0.7513818027210885,BLAN_017
0.7363442325816583,6,0.7372448979591837,0.03162202380952381,0.7372448979591837,BLAN_011
0.7127972718590287,4,0.7551729024943311,0.024854733560090703,0.7551729024943311,BLAN_068
0.8078428715846846,4,0.7186791383219955,0.03169288548752835,0.7186791383219955,BLAN_016
0.8005232285695938,6,0.7091482426303855,0.032082624716553286,0.7091482426303855,BLAN_001
0.9720465950660822,4,0.6463293650793651,0.04125921201814059,0.6463293650793651,BLAN_008
0.8010762020778888,4,0.7451814058956916,0.03450963718820862,0.7451814058956916,BLAN_003
0.8838985151991967,6,0.6680839002267573,0.04242842970521542,0.6680839002267573,BLAN_018
0.7336975773344148,5,0.7476615646258503,0.026785714285714284,0.7476615646258503,BLAN_004
0.8578664644810369,6,0.6742134353741497,0.0389030612244898,0.6742134353741497,BLAN_014
0.8729946008322924,5,0.5023384353741497,0.048770549886621314,0.5023384353741497,BLAN_020
1.0153842528011021,4,0.6135558390022676,0.04474914965986394,0.6135558390022676,BLAN_006
