proxy,quad_beta,quad_p,shape
DHI,-0.2868324747111457,9.434129947929924e-06,혹형∩
MODIS GPP,0.22386168163582135,0.00039166751525052253,U자∪/단조
PML GPP,0.17405793951122664,6.557732808042932e-05,U자∪/단조
