proxy,scale,n,beta,p_lin,r,p_r,quad_beta,quad_p,xmin,xmax
MODIS MOD17 GPP,plot,525,0.5228345196366376,3.579844181129677e-11,0.2836625034409098,3.57984418112966e-11,0.1255983142009727,0.0453290947387665,0.51305,1.8839875
PML-V2 GPP,plot,525,0.3364683996755353,2.574256431368846e-05,0.1825500516818414,2.5742564313688133e-05,-0.06441851718123728,0.16267596141757276,1.4527391304347823,7.852913043478262
NEON tower GPP,site,16,0.25922476862434496,0.4445158597313821,0.2057801245425892,0.4445158597313825,0.1424577232960207,0.5237028133945136,710.97525,2354.3500000000004
