proxy,scale,n,beta,p_lin,r,p_r,quad_beta,quad_p,xmin,xmax
MODIS MOD17 GPP,plot,683,0.8217624397337702,2.0464710726442405e-30,0.4190068039173478,2.046471072644523e-30,-0.0778456316303741,0.26349041554347274,0.4220375,1.8839875
PML-V2 GPP,plot,683,0.7594174796956465,7.442282361595107e-26,0.38721785715751333,7.442282361595422e-26,-0.18919300993476434,0.00021318178559188682,1.3839130434782607,7.852913043478262
NEON tower GPP,site,22,0.8848854735941546,0.004046856630799783,0.5874152255344405,0.004046856630799776,-0.045033470786597474,0.8667569197015096,376.7225,2354.3500000000004
